DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Pessoa)
2020-01-01,2020,1,1,CAGED12_DESLIGN12,2020-01-01T00:00:00-03:00,1275444.0
2020-02-01,2020,1,2,CAGED12_DESLIGN12,2020-02-01T00:00:00-03:00,1254519.0
2020-03-01,2020,1,3,CAGED12_DESLIGN12,2020-03-01T00:00:00-03:00,1524056.0
2020-04-01,2020,1,4,CAGED12_DESLIGN12,2020-04-01T00:00:00-03:00,1459099.0
2020-05-01,2020,1,5,CAGED12_DESLIGN12,2020-05-01T00:00:00-03:00,1035822.0
2020-06-01,2020,1,6,CAGED12_DESLIGN12,2020-06-01T00:00:00-03:00,906444.0
2020-07-01,2020,1,7,CAGED12_DESLIGN12,2020-07-01T00:00:00-03:00,912640.0
2020-08-01,2020,1,8,CAGED12_DESLIGN12,2020-08-01T00:00:00-03:00,990090.0
2020-09-01,2020,1,9,CAGED12_DESLIGN12,2020-09-01T00:00:00-03:00,1065945.0
2020-10-01,2020,1,10,CAGED12_DESLIGN12,2020-10-01T00:00:00-03:00,1153639.0
2020-11-01,2020,1,11,CAGED12_DESLIGN12,2020-11-01T00:00:00-03:00,1117633.0
2020-12-01,2020,1,12,CAGED12_DESLIGN12,2020-12-01T00:00:00-03:00,1307186.0
