DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Porcentagem)
2013-12-01,2013,1,12,DIMAC_ICTI3,2013-12-01T00:00:00-02:00,6.64307250819234
2014-01-01,2014,1,1,DIMAC_ICTI3,2014-01-01T00:00:00-02:00,6.67755166554129
2014-02-01,2014,1,2,DIMAC_ICTI3,2014-02-01T00:00:00-02:00,6.37363561861477
2014-03-01,2014,1,3,DIMAC_ICTI3,2014-03-01T00:00:00-03:00,6.37901004576729
2014-04-01,2014,1,4,DIMAC_ICTI3,2014-04-01T00:00:00-03:00,5.94369652060509
2014-05-01,2014,1,5,DIMAC_ICTI3,2014-05-01T00:00:00-03:00,5.36177789379684
2014-06-01,2014,1,6,DIMAC_ICTI3,2014-06-01T00:00:00-03:00,4.83765317434548
2014-07-01,2014,1,7,DIMAC_ICTI3,2014-07-01T00:00:00-03:00,4.51252359906023
2014-08-01,2014,1,8,DIMAC_ICTI3,2014-08-01T00:00:00-03:00,4.36379069868784
2014-09-01,2014,1,9,DIMAC_ICTI3,2014-09-01T00:00:00-03:00,4.15969124857314
2014-10-01,2014,1,10,DIMAC_ICTI3,2014-10-01T00:00:00-03:00,3.6153137966414
2014-11-01,2014,1,11,DIMAC_ICTI3,2014-11-01T00:00:00-02:00,2.82374874607674
2014-12-01,2014,1,12,DIMAC_ICTI3,2014-12-01T00:00:00-02:00,1.94088492671467
2015-01-01,2015,1,1,DIMAC_ICTI3,2015-01-01T00:00:00-02:00,2.4726695021331
2015-02-01,2015,1,2,DIMAC_ICTI3,2015-02-01T00:00:00-02:00,3.0438440122031
2015-03-01,2015,1,3,DIMAC_ICTI3,2015-03-01T00:00:00-03:00,3.17684136087031
2015-04-01,2015,1,4,DIMAC_ICTI3,2015-04-01T00:00:00-03:00,3.82391077333675
2015-05-01,2015,1,5,DIMAC_ICTI3,2015-05-01T00:00:00-03:00,4.73873941815732
2015-06-01,2015,1,6,DIMAC_ICTI3,2015-06-01T00:00:00-03:00,4.98979476120698
2015-07-01,2015,1,7,DIMAC_ICTI3,2015-07-01T00:00:00-03:00,5.60757564918009
2015-08-01,2015,1,8,DIMAC_ICTI3,2015-08-01T00:00:00-03:00,5.5805562195955
2015-09-01,2015,1,9,DIMAC_ICTI3,2015-09-01T00:00:00-03:00,6.47344094849083
2015-10-01,2015,1,10,DIMAC_ICTI3,2015-10-01T00:00:00-03:00,8.13197555335079
2015-11-01,2015,1,11,DIMAC_ICTI3,2015-11-01T00:00:00-02:00,9.41542420290302
2015-12-01,2015,1,12,DIMAC_ICTI3,2015-12-01T00:00:00-02:00,10.5224152698231
2016-01-01,2016,1,1,DIMAC_ICTI3,2016-01-01T00:00:00-02:00,10.8676403151356
2016-02-01,2016,1,2,DIMAC_ICTI3,2016-02-01T00:00:00-02:00,10.932709077398
2016-03-01,2016,1,3,DIMAC_ICTI3,2016-03-01T00:00:00-03:00,11.3481037870466
2016-04-01,2016,1,4,DIMAC_ICTI3,2016-04-01T00:00:00-03:00,11.307193907651
2016-05-01,2016,1,5,DIMAC_ICTI3,2016-05-01T00:00:00-03:00,10.7021746618592
2016-06-01,2016,1,6,DIMAC_ICTI3,2016-06-01T00:00:00-03:00,10.8149415503271
2016-07-01,2016,1,7,DIMAC_ICTI3,2016-07-01T00:00:00-03:00,10.37985787585
2016-08-01,2016,1,8,DIMAC_ICTI3,2016-08-01T00:00:00-03:00,10.4792789277524
2016-09-01,2016,1,9,DIMAC_ICTI3,2016-09-01T00:00:00-03:00,9.56983959094169
2016-10-01,2016,1,10,DIMAC_ICTI3,2016-10-01T00:00:00-03:00,8.37356517713093
2016-11-01,2016,1,11,DIMAC_ICTI3,2016-11-01T00:00:00-02:00,7.59098132946903
2016-12-01,2016,1,12,DIMAC_ICTI3,2016-12-01T00:00:00-02:00,7.08455482603272
2017-01-01,2017,1,1,DIMAC_ICTI3,2017-01-01T00:00:00-02:00,6.60442536130046
2017-02-01,2017,1,2,DIMAC_ICTI3,2017-02-01T00:00:00-02:00,6.42528681528793
2017-03-01,2017,1,3,DIMAC_ICTI3,2017-03-01T00:00:00-03:00,5.94578218912205
2017-04-01,2017,1,4,DIMAC_ICTI3,2017-04-01T00:00:00-03:00,5.67144112630715
2017-05-01,2017,1,5,DIMAC_ICTI3,2017-05-01T00:00:00-03:00,5.60796685473537
2017-06-01,2017,1,6,DIMAC_ICTI3,2017-06-01T00:00:00-03:00,5.38265218137612
2017-07-01,2017,1,7,DIMAC_ICTI3,2017-07-01T00:00:00-03:00,5.48246208936036
2017-08-01,2017,1,8,DIMAC_ICTI3,2017-08-01T00:00:00-03:00,5.49323526716059
2017-09-01,2017,1,9,DIMAC_ICTI3,2017-09-01T00:00:00-03:00,5.68583442123642
2017-10-01,2017,1,10,DIMAC_ICTI3,2017-10-01T00:00:00-03:00,5.80910337228582
