DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Barril)
1979-01-01,1979,1,1,ANP12_CODP12,1979-01-01T00:00:00-02:00,222.0
1979-02-01,1979,1,2,ANP12_CODP12,1979-02-01T00:00:00-02:00,217.0
1979-03-01,1979,1,3,ANP12_CODP12,1979-03-01T00:00:00-03:00,211.0
1979-04-01,1979,1,4,ANP12_CODP12,1979-04-01T00:00:00-03:00,206.0
1979-05-01,1979,1,5,ANP12_CODP12,1979-05-01T00:00:00-03:00,182.0
1979-06-01,1979,1,6,ANP12_CODP12,1979-06-01T00:00:00-03:00,238.0
1979-07-01,1979,1,7,ANP12_CODP12,1979-07-01T00:00:00-03:00,228.0
1979-08-01,1979,1,8,ANP12_CODP12,1979-08-01T00:00:00-03:00,244.0
1979-09-01,1979,1,9,ANP12_CODP12,1979-09-01T00:00:00-03:00,231.0
1979-10-01,1979,1,10,ANP12_CODP12,1979-10-01T00:00:00-03:00,258.0
1979-11-01,1979,1,11,ANP12_CODP12,1979-11-01T00:00:00-03:00,231.0
1979-12-01,1979,1,12,ANP12_CODP12,1979-12-01T00:00:00-02:00,213.0
1980-01-01,1980,1,1,ANP12_CODP12,1980-01-01T00:00:00-02:00,278.0
1980-02-01,1980,1,2,ANP12_CODP12,1980-02-01T00:00:00-02:00,247.0
1980-03-01,1980,1,3,ANP12_CODP12,1980-03-01T00:00:00-03:00,281.0
1980-04-01,1980,1,4,ANP12_CODP12,1980-04-01T00:00:00-03:00,262.0
1980-05-01,1980,1,5,ANP12_CODP12,1980-05-01T00:00:00-03:00,268.0
1980-06-01,1980,1,6,ANP12_CODP12,1980-06-01T00:00:00-03:00,273.0
1980-07-01,1980,1,7,ANP12_CODP12,1980-07-01T00:00:00-03:00,282.0
1980-08-01,1980,1,8,ANP12_CODP12,1980-08-01T00:00:00-03:00,272.0
1980-09-01,1980,1,9,ANP12_CODP12,1980-09-01T00:00:00-03:00,279.0
1980-10-01,1980,1,10,ANP12_CODP12,1980-10-01T00:00:00-03:00,262.0
1980-11-01,1980,1,11,ANP12_CODP12,1980-11-01T00:00:00-03:00,305.0
1980-12-01,1980,1,12,ANP12_CODP12,1980-12-01T00:00:00-02:00,313.0
1981-01-01,1981,1,1,ANP12_CODP12,1981-01-01T00:00:00-02:00,267.0
1981-02-01,1981,1,2,ANP12_CODP12,1981-02-01T00:00:00-02:00,273.0
1981-03-01,1981,1,3,ANP12_CODP12,1981-03-01T00:00:00-03:00,254.0
1981-04-01,1981,1,4,ANP12_CODP12,1981-04-01T00:00:00-03:00,257.0
1981-05-01,1981,1,5,ANP12_CODP12,1981-05-01T00:00:00-03:00,246.0
1981-06-01,1981,1,6,ANP12_CODP12,1981-06-01T00:00:00-03:00,259.0
1981-07-01,1981,1,7,ANP12_CODP12,1981-07-01T00:00:00-03:00,296.0
1981-08-01,1981,1,8,ANP12_CODP12,1981-08-01T00:00:00-03:00,267.0
1981-09-01,1981,1,9,ANP12_CODP12,1981-09-01T00:00:00-03:00,266.0
1981-10-01,1981,1,10,ANP12_CODP12,1981-10-01T00:00:00-03:00,273.0
1981-11-01,1981,1,11,ANP12_CODP12,1981-11-01T00:00:00-03:00,263.0
1981-12-01,1981,1,12,ANP12_CODP12,1981-12-01T00:00:00-02:00,266.0
1982-01-01,1982,1,1,ANP12_CODP12,1982-01-01T00:00:00-02:00,267.0
1982-02-01,1982,1,2,ANP12_CODP12,1982-02-01T00:00:00-02:00,282.0
1982-03-01,1982,1,3,ANP12_CODP12,1982-03-01T00:00:00-03:00,287.0
1982-04-01,1982,1,4,ANP12_CODP12,1982-04-01T00:00:00-03:00,296.0
1982-05-01,1982,1,5,ANP12_CODP12,1982-05-01T00:00:00-03:00,283.0
1982-06-01,1982,1,6,ANP12_CODP12,1982-06-01T00:00:00-03:00,283.0
1982-07-01,1982,1,7,ANP12_CODP12,1982-07-01T00:00:00-03:00,299.0
1982-08-01,1982,1,8,ANP12_CODP12,1982-08-01T00:00:00-03:00,292.0
1982-09-01,1982,1,9,ANP12_CODP12,1982-09-01T00:00:00-03:00,281.0
1982-10-01,1982,1,10,ANP12_CODP12,1982-10-01T00:00:00-03:00,302.0
1982-11-01,1982,1,11,ANP12_CODP12,1982-11-01T00:00:00-03:00,288.0
1982-12-01,1982,1,12,ANP12_CODP12,1982-12-01T00:00:00-02:00,304.0
1983-01-01,1983,1,1,ANP12_CODP12,1983-01-01T00:00:00-02:00,294.0
1983-02-01,1983,1,2,ANP12_CODP12,1983-02-01T00:00:00-02:00,285.0
1983-03-01,1983,1,3,ANP12_CODP12,1983-03-01T00:00:00-03:00,291.0
1983-04-01,1983,1,4,ANP12_CODP12,1983-04-01T00:00:00-03:00,307.0
1983-05-01,1983,1,5,ANP12_CODP12,1983-05-01T00:00:00-03:00,310.0
1983-06-01,1983,1,6,ANP12_CODP12,1983-06-01T00:00:00-03:00,292.0
1983-07-01,1983,1,7,ANP12_CODP12,1983-07-01T00:00:00-03:00,302.0
1983-08-01,1983,1,8,ANP12_CODP12,1983-08-01T00:00:00-03:00,329.0
