DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((p.p.))
2011-03-01,2011,1,3,BM12_CRLSD12,2011-03-01T00:00:00-03:00,25.93
2011-04-01,2011,1,4,BM12_CRLSD12,2011-04-01T00:00:00-03:00,26.62
2011-05-01,2011,1,5,BM12_CRLSD12,2011-05-01T00:00:00-03:00,26.46
2011-06-01,2011,1,6,BM12_CRLSD12,2011-06-01T00:00:00-03:00,26.34
2011-07-01,2011,1,7,BM12_CRLSD12,2011-07-01T00:00:00-03:00,26.54
2011-08-01,2011,1,8,BM12_CRLSD12,2011-08-01T00:00:00-03:00,26.11
2011-09-01,2011,1,9,BM12_CRLSD12,2011-09-01T00:00:00-03:00,27.01
2011-10-01,2011,1,10,BM12_CRLSD12,2011-10-01T00:00:00-03:00,27.7
2011-11-01,2011,1,11,BM12_CRLSD12,2011-11-01T00:00:00-02:00,27.2
2011-12-01,2011,1,12,BM12_CRLSD12,2011-12-01T00:00:00-02:00,25.2
2012-01-01,2012,1,1,BM12_CRLSD12,2012-01-01T00:00:00-02:00,26.46
2012-02-01,2012,1,2,BM12_CRLSD12,2012-02-01T00:00:00-02:00,27.28
2012-03-01,2012,1,3,BM12_CRLSD12,2012-03-01T00:00:00-03:00,27.04
2012-04-01,2012,1,4,BM12_CRLSD12,2012-04-01T00:00:00-03:00,26.49
2012-05-01,2012,1,5,BM12_CRLSD12,2012-05-01T00:00:00-03:00,24.84
2012-06-01,2012,1,6,BM12_CRLSD12,2012-06-01T00:00:00-03:00,24.06
2012-07-01,2012,1,7,BM12_CRLSD12,2012-07-01T00:00:00-03:00,23.83
2012-08-01,2012,1,8,BM12_CRLSD12,2012-08-01T00:00:00-03:00,23.24
2012-09-01,2012,1,9,BM12_CRLSD12,2012-09-01T00:00:00-03:00,23.07
2012-10-01,2012,1,10,BM12_CRLSD12,2012-10-01T00:00:00-03:00,22.67
2012-11-01,2012,1,11,BM12_CRLSD12,2012-11-01T00:00:00-02:00,22.54
2012-12-01,2012,1,12,BM12_CRLSD12,2012-12-01T00:00:00-02:00,21.26
2013-01-01,2013,1,1,BM12_CRLSD12,2013-01-01T00:00:00-02:00,21.95
2013-02-01,2013,1,2,BM12_CRLSD12,2013-02-01T00:00:00-02:00,22.29
2013-03-01,2013,1,3,BM12_CRLSD12,2013-03-01T00:00:00-03:00,21.61
2013-04-01,2013,1,4,BM12_CRLSD12,2013-04-01T00:00:00-03:00,21.71
2013-05-01,2013,1,5,BM12_CRLSD12,2013-05-01T00:00:00-03:00,21.34
2013-06-01,2013,1,6,BM12_CRLSD12,2013-06-01T00:00:00-03:00,20.62
2013-07-01,2013,1,7,BM12_CRLSD12,2013-07-01T00:00:00-03:00,21.36
2013-08-01,2013,1,8,BM12_CRLSD12,2013-08-01T00:00:00-03:00,21.36
2013-09-01,2013,1,9,BM12_CRLSD12,2013-09-01T00:00:00-03:00,21.4
2013-10-01,2013,1,10,BM12_CRLSD12,2013-10-01T00:00:00-03:00,21.91
2013-11-01,2013,1,11,BM12_CRLSD12,2013-11-01T00:00:00-02:00,21.84
2013-12-01,2013,1,12,BM12_CRLSD12,2013-12-01T00:00:00-02:00,21.13
2014-01-01,2014,1,1,BM12_CRLSD12,2014-01-01T00:00:00-02:00,22.44
2014-02-01,2014,1,2,BM12_CRLSD12,2014-02-01T00:00:00-02:00,23.68
2014-03-01,2014,1,3,BM12_CRLSD12,2014-03-01T00:00:00-03:00,23.82
2014-04-01,2014,1,4,BM12_CRLSD12,2014-04-01T00:00:00-03:00,23.81
2014-05-01,2014,1,5,BM12_CRLSD12,2014-05-01T00:00:00-03:00,24.23
2014-06-01,2014,1,6,BM12_CRLSD12,2014-06-01T00:00:00-03:00,24.71
2014-07-01,2014,1,7,BM12_CRLSD12,2014-07-01T00:00:00-03:00,25.15
2014-08-01,2014,1,8,BM12_CRLSD12,2014-08-01T00:00:00-03:00,25.16
2014-09-01,2014,1,9,BM12_CRLSD12,2014-09-01T00:00:00-03:00,24.55
2014-10-01,2014,1,10,BM12_CRLSD12,2014-10-01T00:00:00-03:00,25.47
2014-11-01,2014,1,11,BM12_CRLSD12,2014-11-01T00:00:00-02:00,25.47
2014-12-01,2014,1,12,BM12_CRLSD12,2014-12-01T00:00:00-02:00,24.61
2015-01-01,2015,1,1,BM12_CRLSD12,2015-01-01T00:00:00-02:00,26.54
2015-02-01,2015,1,2,BM12_CRLSD12,2015-02-01T00:00:00-02:00,27.46
2015-03-01,2015,1,3,BM12_CRLSD12,2015-03-01T00:00:00-03:00,27.21
2015-04-01,2015,1,4,BM12_CRLSD12,2015-04-01T00:00:00-03:00,28.41
2015-05-01,2015,1,5,BM12_CRLSD12,2015-05-01T00:00:00-03:00,29.09
2015-06-01,2015,1,6,BM12_CRLSD12,2015-06-01T00:00:00-03:00,29.75
2015-07-01,2015,1,7,BM12_CRLSD12,2015-07-01T00:00:00-03:00,30.67
2015-08-01,2015,1,8,BM12_CRLSD12,2015-08-01T00:00:00-03:00,31.05
2015-09-01,2015,1,9,BM12_CRLSD12,2015-09-01T00:00:00-03:00,30.89
2015-10-01,2015,1,10,BM12_CRLSD12,2015-10-01T00:00:00-03:00,32.0
2015-11-01,2015,1,11,BM12_CRLSD12,2015-11-01T00:00:00-02:00,32.66
2015-12-01,2015,1,12,BM12_CRLSD12,2015-12-01T00:00:00-02:00,31.08
2016-01-01,2016,1,1,BM12_CRLSD12,2016-01-01T00:00:00-02:00,33.62
2016-02-01,2016,1,2,BM12_CRLSD12,2016-02-01T00:00:00-02:00,35.15
2016-03-01,2016,1,3,BM12_CRLSD12,2016-03-01T00:00:00-03:00,36.44
2016-04-01,2016,1,4,BM12_CRLSD12,2016-04-01T00:00:00-03:00,38.05
2016-05-01,2016,1,5,BM12_CRLSD12,2016-05-01T00:00:00-03:00,38.5
2016-06-01,2016,1,6,BM12_CRLSD12,2016-06-01T00:00:00-03:00,38.36
2016-07-01,2016,1,7,BM12_CRLSD12,2016-07-01T00:00:00-03:00,39.21
2016-08-01,2016,1,8,BM12_CRLSD12,2016-08-01T00:00:00-03:00,39.71
2016-09-01,2016,1,9,BM12_CRLSD12,2016-09-01T00:00:00-03:00,40.22
2016-10-01,2016,1,10,BM12_CRLSD12,2016-10-01T00:00:00-03:00,41.18
2016-11-01,2016,1,11,BM12_CRLSD12,2016-11-01T00:00:00-02:00,40.84
2016-12-01,2016,1,12,BM12_CRLSD12,2016-12-01T00:00:00-02:00,39.12
2017-01-01,2017,1,1,BM12_CRLSD12,2017-01-01T00:00:00-02:00,40.94
2017-02-01,2017,1,2,BM12_CRLSD12,2017-02-01T00:00:00-02:00,41.55
2017-03-01,2017,1,3,BM12_CRLSD12,2017-03-01T00:00:00-03:00,41.03
2017-04-01,2017,1,4,BM12_CRLSD12,2017-04-01T00:00:00-03:00,38.18
2017-05-01,2017,1,5,BM12_CRLSD12,2017-05-01T00:00:00-03:00,36.61
2017-06-01,2017,1,6,BM12_CRLSD12,2017-06-01T00:00:00-03:00,35.47
2017-07-01,2017,1,7,BM12_CRLSD12,2017-07-01T00:00:00-03:00,36.43
2017-08-01,2017,1,8,BM12_CRLSD12,2017-08-01T00:00:00-03:00,35.74
2017-09-01,2017,1,9,BM12_CRLSD12,2017-09-01T00:00:00-03:00,33.96
2017-10-01,2017,1,10,BM12_CRLSD12,2017-10-01T00:00:00-03:00,34.3
2017-11-01,2017,1,11,BM12_CRLSD12,2017-11-01T00:00:00-02:00,33.38
2017-12-01,2017,1,12,BM12_CRLSD12,2017-12-01T00:00:00-02:00,31.04
2018-01-01,2018,1,1,BM12_CRLSD12,2018-01-01T00:00:00-02:00,32.23
2018-02-01,2018,1,2,BM12_CRLSD12,2018-02-01T00:00:00-02:00,33.21
2018-03-01,2018,1,3,BM12_CRLSD12,2018-03-01T00:00:00-03:00,32.94
2018-04-01,2018,1,4,BM12_CRLSD12,2018-04-01T00:00:00-03:00,32.36
2018-05-01,2018,1,5,BM12_CRLSD12,2018-05-01T00:00:00-03:00,30.29
2018-06-01,2018,1,6,BM12_CRLSD12,2018-06-01T00:00:00-03:00,28.81
2018-07-01,2018,1,7,BM12_CRLSD12,2018-07-01T00:00:00-03:00,28.8
2018-08-01,2018,1,8,BM12_CRLSD12,2018-08-01T00:00:00-03:00,28.23
2018-09-01,2018,1,9,BM12_CRLSD12,2018-09-01T00:00:00-03:00,28.1
2018-10-01,2018,1,10,BM12_CRLSD12,2018-10-01T00:00:00-03:00,29.09
2018-11-01,2018,1,11,BM12_CRLSD12,2018-11-01T00:00:00-03:00,29.32
2018-12-01,2018,1,12,BM12_CRLSD12,2018-12-01T00:00:00-02:00,27.22
2019-01-01,2019,1,1,BM12_CRLSD12,2019-01-01T00:00:00-02:00,29.64
2019-02-01,2019,1,2,BM12_CRLSD12,2019-02-01T00:00:00-02:00,30.61
2019-03-01,2019,1,3,BM12_CRLSD12,2019-03-01T00:00:00-03:00,30.92
2019-04-01,2019,1,4,BM12_CRLSD12,2019-04-01T00:00:00-03:00,30.88
2019-05-01,2019,1,5,BM12_CRLSD12,2019-05-01T00:00:00-03:00,30.51
2019-06-01,2019,1,6,BM12_CRLSD12,2019-06-01T00:00:00-03:00,30.86
2019-07-01,2019,1,7,BM12_CRLSD12,2019-07-01T00:00:00-03:00,31.06
2019-08-01,2019,1,8,BM12_CRLSD12,2019-08-01T00:00:00-03:00,30.92
2019-09-01,2019,1,9,BM12_CRLSD12,2019-09-01T00:00:00-03:00,29.99
2019-10-01,2019,1,10,BM12_CRLSD12,2019-10-01T00:00:00-03:00,29.65
2019-11-01,2019,1,11,BM12_CRLSD12,2019-11-01T00:00:00-03:00,30.01
2019-12-01,2019,1,12,BM12_CRLSD12,2019-12-01T00:00:00-03:00,27.84
2020-01-01,2020,1,1,BM12_CRLSD12,2020-01-01T00:00:00-03:00,28.3
2020-02-01,2020,1,2,BM12_CRLSD12,2020-02-01T00:00:00-03:00,28.87
2020-03-01,2020,1,3,BM12_CRLSD12,2020-03-01T00:00:00-03:00,27.63
2020-04-01,2020,1,4,BM12_CRLSD12,2020-04-01T00:00:00-03:00,26.16
2020-05-01,2020,1,5,BM12_CRLSD12,2020-05-01T00:00:00-03:00,25.02
2020-06-01,2020,1,6,BM12_CRLSD12,2020-06-01T00:00:00-03:00,23.69
2020-07-01,2020,1,7,BM12_CRLSD12,2020-07-01T00:00:00-03:00,23.02
2020-08-01,2020,1,8,BM12_CRLSD12,2020-08-01T00:00:00-03:00,22.25
2020-09-01,2020,1,9,BM12_CRLSD12,2020-09-01T00:00:00-03:00,21.18
2020-10-01,2020,1,10,BM12_CRLSD12,2020-10-01T00:00:00-03:00,21.44
2020-11-01,2020,1,11,BM12_CRLSD12,2020-11-01T00:00:00-03:00,21.25
2020-12-01,2020,1,12,BM12_CRLSD12,2020-12-01T00:00:00-03:00,20.93
2021-01-01,2021,1,1,BM12_CRLSD12,2021-01-01T00:00:00-03:00,23.35
