DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (GWh)
1980-06-01,1980,1,6,ELETRO12_CEEOUT12,1980-06-01T00:00:00-03:00,1128.0
1980-07-01,1980,1,7,ELETRO12_CEEOUT12,1980-07-01T00:00:00-03:00,1123.0
1980-08-01,1980,1,8,ELETRO12_CEEOUT12,1980-08-01T00:00:00-03:00,1166.0
1980-09-01,1980,1,9,ELETRO12_CEEOUT12,1980-09-01T00:00:00-03:00,1164.0
1980-10-01,1980,1,10,ELETRO12_CEEOUT12,1980-10-01T00:00:00-03:00,1163.0
1980-11-01,1980,1,11,ELETRO12_CEEOUT12,1980-11-01T00:00:00-03:00,1168.0
1980-12-01,1980,1,12,ELETRO12_CEEOUT12,1980-12-01T00:00:00-02:00,1232.0
1981-01-01,1981,1,1,ELETRO12_CEEOUT12,1981-01-01T00:00:00-02:00,1242.0
1981-02-01,1981,1,2,ELETRO12_CEEOUT12,1981-02-01T00:00:00-02:00,1167.0
1981-03-01,1981,1,3,ELETRO12_CEEOUT12,1981-03-01T00:00:00-03:00,1237.0
1981-04-01,1981,1,4,ELETRO12_CEEOUT12,1981-04-01T00:00:00-03:00,1185.0
1981-05-01,1981,1,5,ELETRO12_CEEOUT12,1981-05-01T00:00:00-03:00,1210.0
1981-06-01,1981,1,6,ELETRO12_CEEOUT12,1981-06-01T00:00:00-03:00,1220.0
1981-07-01,1981,1,7,ELETRO12_CEEOUT12,1981-07-01T00:00:00-03:00,1239.0
1981-08-01,1981,1,8,ELETRO12_CEEOUT12,1981-08-01T00:00:00-03:00,1273.0
1981-09-01,1981,1,9,ELETRO12_CEEOUT12,1981-09-01T00:00:00-03:00,1279.0
1981-10-01,1981,1,10,ELETRO12_CEEOUT12,1981-10-01T00:00:00-03:00,1287.0
1981-11-01,1981,1,11,ELETRO12_CEEOUT12,1981-11-01T00:00:00-03:00,1268.0
1981-12-01,1981,1,12,ELETRO12_CEEOUT12,1981-12-01T00:00:00-02:00,1261.0
1982-01-01,1982,1,1,ELETRO12_CEEOUT12,1982-01-01T00:00:00-02:00,1352.0
1982-02-01,1982,1,2,ELETRO12_CEEOUT12,1982-02-01T00:00:00-02:00,1281.0
1982-03-01,1982,1,3,ELETRO12_CEEOUT12,1982-03-01T00:00:00-03:00,1277.0
1982-04-01,1982,1,4,ELETRO12_CEEOUT12,1982-04-01T00:00:00-03:00,1342.0
1982-05-01,1982,1,5,ELETRO12_CEEOUT12,1982-05-01T00:00:00-03:00,1329.0
1982-06-01,1982,1,6,ELETRO12_CEEOUT12,1982-06-01T00:00:00-03:00,1356.0
1982-07-01,1982,1,7,ELETRO12_CEEOUT12,1982-07-01T00:00:00-03:00,1371.0
1982-08-01,1982,1,8,ELETRO12_CEEOUT12,1982-08-01T00:00:00-03:00,1402.0
1982-09-01,1982,1,9,ELETRO12_CEEOUT12,1982-09-01T00:00:00-03:00,1432.0
1982-10-01,1982,1,10,ELETRO12_CEEOUT12,1982-10-01T00:00:00-03:00,1393.0
1982-11-01,1982,1,11,ELETRO12_CEEOUT12,1982-11-01T00:00:00-03:00,1419.0
1982-12-01,1982,1,12,ELETRO12_CEEOUT12,1982-12-01T00:00:00-02:00,1419.0
1983-01-01,1983,1,1,ELETRO12_CEEOUT12,1983-01-01T00:00:00-02:00,1490.0
1983-02-01,1983,1,2,ELETRO12_CEEOUT12,1983-02-01T00:00:00-02:00,1434.0
1983-03-01,1983,1,3,ELETRO12_CEEOUT12,1983-03-01T00:00:00-03:00,1454.0
1983-04-01,1983,1,4,ELETRO12_CEEOUT12,1983-04-01T00:00:00-03:00,1512.0
1983-05-01,1983,1,5,ELETRO12_CEEOUT12,1983-05-01T00:00:00-03:00,1464.0
1983-06-01,1983,1,6,ELETRO12_CEEOUT12,1983-06-01T00:00:00-03:00,1496.0
1983-07-01,1983,1,7,ELETRO12_CEEOUT12,1983-07-01T00:00:00-03:00,1473.0
1983-08-01,1983,1,8,ELETRO12_CEEOUT12,1983-08-01T00:00:00-03:00,1502.0
1983-09-01,1983,1,9,ELETRO12_CEEOUT12,1983-09-01T00:00:00-03:00,1548.0
1983-10-01,1983,1,10,ELETRO12_CEEOUT12,1983-10-01T00:00:00-03:00,1495.0
1983-11-01,1983,1,11,ELETRO12_CEEOUT12,1983-11-01T00:00:00-03:00,1504.0
1983-12-01,1983,1,12,ELETRO12_CEEOUT12,1983-12-01T00:00:00-02:00,1531.0
1984-01-01,1984,1,1,ELETRO12_CEEOUT12,1984-01-01T00:00:00-02:00,1637.0
1984-02-01,1984,1,2,ELETRO12_CEEOUT12,1984-02-01T00:00:00-02:00,1608.0
1984-03-01,1984,1,3,ELETRO12_CEEOUT12,1984-03-01T00:00:00-03:00,1583.0
1984-04-01,1984,1,4,ELETRO12_CEEOUT12,1984-04-01T00:00:00-03:00,1545.0
1984-05-01,1984,1,5,ELETRO12_CEEOUT12,1984-05-01T00:00:00-03:00,1549.0
