DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((% a.m.))
1998-06-01,1998,1,6,FIPE12_FIPEQ1G12,1998-06-01T00:00:00-03:00,0.5837
1998-07-01,1998,1,7,FIPE12_FIPEQ1G12,1998-07-01T00:00:00-03:00,-0.0463
1998-08-01,1998,1,8,FIPE12_FIPEQ1G12,1998-08-01T00:00:00-03:00,-1.0019
1998-09-01,1998,1,9,FIPE12_FIPEQ1G12,1998-09-01T00:00:00-03:00,-0.9403
1998-10-01,1998,1,10,FIPE12_FIPEQ1G12,1998-10-01T00:00:00-03:00,-0.446
1998-11-01,1998,1,11,FIPE12_FIPEQ1G12,1998-11-01T00:00:00-03:00,-0.2203
1998-12-01,1998,1,12,FIPE12_FIPEQ1G12,1998-12-01T00:00:00-02:00,-0.4382
1999-01-01,1999,1,1,FIPE12_FIPEQ1G12,1999-01-01T00:00:00-02:00,0.1009
1999-02-01,1999,1,2,FIPE12_FIPEQ1G12,1999-02-01T00:00:00-02:00,0.7451
1999-03-01,1999,1,3,FIPE12_FIPEQ1G12,1999-03-01T00:00:00-03:00,1.2403
1999-04-01,1999,1,4,FIPE12_FIPEQ1G12,1999-04-01T00:00:00-03:00,0.3819
1999-05-01,1999,1,5,FIPE12_FIPEQ1G12,1999-05-01T00:00:00-03:00,0.3484
1999-06-01,1999,1,6,FIPE12_FIPEQ1G12,1999-06-01T00:00:00-03:00,-0.4072
1999-07-01,1999,1,7,FIPE12_FIPEQ1G12,1999-07-01T00:00:00-03:00,0.2862
1999-08-01,1999,1,8,FIPE12_FIPEQ1G12,1999-08-01T00:00:00-03:00,1.084
1999-09-01,1999,1,9,FIPE12_FIPEQ1G12,1999-09-01T00:00:00-03:00,0.674
1999-10-01,1999,1,10,FIPE12_FIPEQ1G12,1999-10-01T00:00:00-03:00,1.0425
1999-11-01,1999,1,11,FIPE12_FIPEQ1G12,1999-11-01T00:00:00-03:00,1.1352
1999-12-01,1999,1,12,FIPE12_FIPEQ1G12,1999-12-01T00:00:00-02:00,1.3406
2000-01-01,2000,1,1,FIPE12_FIPEQ1G12,2000-01-01T00:00:00-02:00,0.4628
2000-02-01,2000,1,2,FIPE12_FIPEQ1G12,2000-02-01T00:00:00-02:00,0.3689
2000-03-01,2000,1,3,FIPE12_FIPEQ1G12,2000-03-01T00:00:00-03:00,-0.149
2000-04-01,2000,1,4,FIPE12_FIPEQ1G12,2000-04-01T00:00:00-03:00,0.3107
2000-05-01,2000,1,5,FIPE12_FIPEQ1G12,2000-05-01T00:00:00-03:00,0.0301
2000-06-01,2000,1,6,FIPE12_FIPEQ1G12,2000-06-01T00:00:00-03:00,0.0803
2000-07-01,2000,1,7,FIPE12_FIPEQ1G12,2000-07-01T00:00:00-03:00,0.3267
2000-08-01,2000,1,8,FIPE12_FIPEQ1G12,2000-08-01T00:00:00-03:00,1.6286
2000-09-01,2000,1,9,FIPE12_FIPEQ1G12,2000-09-01T00:00:00-03:00,1.172
2000-10-01,2000,1,10,FIPE12_FIPEQ1G12,2000-10-01T00:00:00-03:00,0.2055
2000-11-01,2000,1,11,FIPE12_FIPEQ1G12,2000-11-01T00:00:00-03:00,-0.0588
2000-12-01,2000,1,12,FIPE12_FIPEQ1G12,2000-12-01T00:00:00-02:00,0.0343
2001-01-01,2001,1,1,FIPE12_FIPEQ1G12,2001-01-01T00:00:00-02:00,0.2897
2001-02-01,2001,1,2,FIPE12_FIPEQ1G12,2001-02-01T00:00:00-02:00,0.2745
2001-03-01,2001,1,3,FIPE12_FIPEQ1G12,2001-03-01T00:00:00-03:00,0.2221
2001-04-01,2001,1,4,FIPE12_FIPEQ1G12,2001-04-01T00:00:00-03:00,0.5018
2001-05-01,2001,1,5,FIPE12_FIPEQ1G12,2001-05-01T00:00:00-03:00,0.5889
2001-06-01,2001,1,6,FIPE12_FIPEQ1G12,2001-06-01T00:00:00-03:00,0.3488
2001-07-01,2001,1,7,FIPE12_FIPEQ1G12,2001-07-01T00:00:00-03:00,0.6894
2001-08-01,2001,1,8,FIPE12_FIPEQ1G12,2001-08-01T00:00:00-03:00,1.5104
2001-09-01,2001,1,9,FIPE12_FIPEQ1G12,2001-09-01T00:00:00-03:00,0.8321
2001-10-01,2001,1,10,FIPE12_FIPEQ1G12,2001-10-01T00:00:00-03:00,0.4308
2001-11-01,2001,1,11,FIPE12_FIPEQ1G12,2001-11-01T00:00:00-03:00,0.8486
2001-12-01,2001,1,12,FIPE12_FIPEQ1G12,2001-12-01T00:00:00-02:00,0.358
2002-01-01,2002,1,1,FIPE12_FIPEQ1G12,2002-01-01T00:00:00-02:00,0.4576
2002-02-01,2002,1,2,FIPE12_FIPEQ1G12,2002-02-01T00:00:00-02:00,0.3429
2002-03-01,2002,1,3,FIPE12_FIPEQ1G12,2002-03-01T00:00:00-03:00,0.2948
2002-04-01,2002,1,4,FIPE12_FIPEQ1G12,2002-04-01T00:00:00-03:00,0.0258
2002-05-01,2002,1,5,FIPE12_FIPEQ1G12,2002-05-01T00:00:00-03:00,-0.0307
2002-06-01,2002,1,6,FIPE12_FIPEQ1G12,2002-06-01T00:00:00-03:00,0.2742
2002-07-01,2002,1,7,FIPE12_FIPEQ1G12,2002-07-01T00:00:00-03:00,0.2311
2002-08-01,2002,1,8,FIPE12_FIPEQ1G12,2002-08-01T00:00:00-03:00,0.7932
2002-09-01,2002,1,9,FIPE12_FIPEQ1G12,2002-09-01T00:00:00-03:00,0.9916
2002-10-01,2002,1,10,FIPE12_FIPEQ1G12,2002-10-01T00:00:00-03:00,0.8117
