DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Pessoa)
2012-03-01,2012,1,3,PNADC12_CP12,2012-03-01T00:00:00-03:00,20494.0
2012-04-01,2012,1,4,PNADC12_CP12,2012-04-01T00:00:00-03:00,20522.0
2012-05-01,2012,1,5,PNADC12_CP12,2012-05-01T00:00:00-03:00,20463.0
2012-06-01,2012,1,6,PNADC12_CP12,2012-06-01T00:00:00-03:00,20228.0
2012-07-01,2012,1,7,PNADC12_CP12,2012-07-01T00:00:00-03:00,20129.0
2012-08-01,2012,1,8,PNADC12_CP12,2012-08-01T00:00:00-03:00,20122.0
2012-09-01,2012,1,9,PNADC12_CP12,2012-09-01T00:00:00-03:00,20156.0
2012-10-01,2012,1,10,PNADC12_CP12,2012-10-01T00:00:00-03:00,20271.0
2012-11-01,2012,1,11,PNADC12_CP12,2012-11-01T00:00:00-02:00,20390.0
2012-12-01,2012,1,12,PNADC12_CP12,2012-12-01T00:00:00-02:00,20508.0
2013-01-01,2013,1,1,PNADC12_CP12,2013-01-01T00:00:00-02:00,20468.0
2013-02-01,2013,1,2,PNADC12_CP12,2013-02-01T00:00:00-02:00,20315.0
2013-03-01,2013,1,3,PNADC12_CP12,2013-03-01T00:00:00-03:00,20409.0
2013-04-01,2013,1,4,PNADC12_CP12,2013-04-01T00:00:00-03:00,20482.0
2013-05-01,2013,1,5,PNADC12_CP12,2013-05-01T00:00:00-03:00,20684.0
2013-06-01,2013,1,6,PNADC12_CP12,2013-06-01T00:00:00-03:00,20724.0
2013-07-01,2013,1,7,PNADC12_CP12,2013-07-01T00:00:00-03:00,20809.0
2013-08-01,2013,1,8,PNADC12_CP12,2013-08-01T00:00:00-03:00,20781.0
2013-09-01,2013,1,9,PNADC12_CP12,2013-09-01T00:00:00-03:00,20836.0
2013-10-01,2013,1,10,PNADC12_CP12,2013-10-01T00:00:00-03:00,20776.0
2013-11-01,2013,1,11,PNADC12_CP12,2013-11-01T00:00:00-02:00,20920.0
2013-12-01,2013,1,12,PNADC12_CP12,2013-12-01T00:00:00-02:00,21167.0
2014-01-01,2014,1,1,PNADC12_CP12,2014-01-01T00:00:00-02:00,21209.0
2014-02-01,2014,1,2,PNADC12_CP12,2014-02-01T00:00:00-02:00,21077.0
2014-03-01,2014,1,3,PNADC12_CP12,2014-03-01T00:00:00-03:00,20789.0
2014-04-01,2014,1,4,PNADC12_CP12,2014-04-01T00:00:00-03:00,20769.0
2014-05-01,2014,1,5,PNADC12_CP12,2014-05-01T00:00:00-03:00,20968.0
2014-06-01,2014,1,6,PNADC12_CP12,2014-06-01T00:00:00-03:00,20956.0
2014-07-01,2014,1,7,PNADC12_CP12,2014-07-01T00:00:00-03:00,21107.0
2014-08-01,2014,1,8,PNADC12_CP12,2014-08-01T00:00:00-03:00,21101.0
2014-09-01,2014,1,9,PNADC12_CP12,2014-09-01T00:00:00-03:00,21350.0
2014-10-01,2014,1,10,PNADC12_CP12,2014-10-01T00:00:00-03:00,21437.0
2014-11-01,2014,1,11,PNADC12_CP12,2014-11-01T00:00:00-02:00,21511.0
2014-12-01,2014,1,12,PNADC12_CP12,2014-12-01T00:00:00-02:00,21637.0
2015-01-01,2015,1,1,PNADC12_CP12,2015-01-01T00:00:00-02:00,21640.0
2015-02-01,2015,1,2,PNADC12_CP12,2015-02-01T00:00:00-02:00,21641.0
2015-03-01,2015,1,3,PNADC12_CP12,2015-03-01T00:00:00-03:00,21651.0
2015-04-01,2015,1,4,PNADC12_CP12,2015-04-01T00:00:00-03:00,21788.0
2015-05-01,2015,1,5,PNADC12_CP12,2015-05-01T00:00:00-03:00,21900.0
2015-06-01,2015,1,6,PNADC12_CP12,2015-06-01T00:00:00-03:00,21944.0
2015-07-01,2015,1,7,PNADC12_CP12,2015-07-01T00:00:00-03:00,21987.0
2015-08-01,2015,1,8,PNADC12_CP12,2015-08-01T00:00:00-03:00,22024.0
2015-09-01,2015,1,9,PNADC12_CP12,2015-09-01T00:00:00-03:00,22107.0
2015-10-01,2015,1,10,PNADC12_CP12,2015-10-01T00:00:00-03:00,22348.0
2015-11-01,2015,1,11,PNADC12_CP12,2015-11-01T00:00:00-02:00,22489.0
2015-12-01,2015,1,12,PNADC12_CP12,2015-12-01T00:00:00-02:00,22790.0
2016-01-01,2016,1,1,PNADC12_CP12,2016-01-01T00:00:00-02:00,22977.0
2016-02-01,2016,1,2,PNADC12_CP12,2016-02-01T00:00:00-02:00,23165.0
2016-03-01,2016,1,3,PNADC12_CP12,2016-03-01T00:00:00-03:00,23066.0
2016-04-01,2016,1,4,PNADC12_CP12,2016-04-01T00:00:00-03:00,22860.0
2016-05-01,2016,1,5,PNADC12_CP12,2016-05-01T00:00:00-03:00,22855.0
2016-06-01,2016,1,6,PNADC12_CP12,2016-06-01T00:00:00-03:00,22804.0
2016-07-01,2016,1,7,PNADC12_CP12,2016-07-01T00:00:00-03:00,22521.0
2016-08-01,2016,1,8,PNADC12_CP12,2016-08-01T00:00:00-03:00,22121.0
2016-09-01,2016,1,9,PNADC12_CP12,2016-09-01T00:00:00-03:00,21743.0
2016-10-01,2016,1,10,PNADC12_CP12,2016-10-01T00:00:00-03:00,21638.0
2016-11-01,2016,1,11,PNADC12_CP12,2016-11-01T00:00:00-02:00,21830.0
2016-12-01,2016,1,12,PNADC12_CP12,2016-12-01T00:00:00-02:00,22021.0
2017-01-01,2017,1,1,PNADC12_CP12,2017-01-01T00:00:00-02:00,22089.0
2017-02-01,2017,1,2,PNADC12_CP12,2017-02-01T00:00:00-02:00,22051.0
2017-03-01,2017,1,3,PNADC12_CP12,2017-03-01T00:00:00-03:00,22009.0
2017-04-01,2017,1,4,PNADC12_CP12,2017-04-01T00:00:00-03:00,22176.0
2017-05-01,2017,1,5,PNADC12_CP12,2017-05-01T00:00:00-03:00,22273.0
2017-06-01,2017,1,6,PNADC12_CP12,2017-06-01T00:00:00-03:00,22407.0
2017-07-01,2017,1,7,PNADC12_CP12,2017-07-01T00:00:00-03:00,22531.0
2017-08-01,2017,1,8,PNADC12_CP12,2017-08-01T00:00:00-03:00,22751.0
2017-09-01,2017,1,9,PNADC12_CP12,2017-09-01T00:00:00-03:00,22819.0
2017-10-01,2017,1,10,PNADC12_CP12,2017-10-01T00:00:00-03:00,22865.0
2017-11-01,2017,1,11,PNADC12_CP12,2017-11-01T00:00:00-02:00,22951.0
2017-12-01,2017,1,12,PNADC12_CP12,2017-12-01T00:00:00-02:00,23110.0
2018-01-01,2018,1,1,PNADC12_CP12,2018-01-01T00:00:00-02:00,23095.0
2018-02-01,2018,1,2,PNADC12_CP12,2018-02-01T00:00:00-02:00,23052.0
2018-03-01,2018,1,3,PNADC12_CP12,2018-03-01T00:00:00-03:00,22871.0
2018-04-01,2018,1,4,PNADC12_CP12,2018-04-01T00:00:00-03:00,22945.0
2018-05-01,2018,1,5,PNADC12_CP12,2018-05-01T00:00:00-03:00,22863.0
2018-06-01,2018,1,6,PNADC12_CP12,2018-06-01T00:00:00-03:00,22985.0
2018-07-01,2018,1,7,PNADC12_CP12,2018-07-01T00:00:00-03:00,23035.0
2018-08-01,2018,1,8,PNADC12_CP12,2018-08-01T00:00:00-03:00,23204.0
2018-09-01,2018,1,9,PNADC12_CP12,2018-09-01T00:00:00-03:00,23419.0
2018-10-01,2018,1,10,PNADC12_CP12,2018-10-01T00:00:00-03:00,23533.0
2018-11-01,2018,1,11,PNADC12_CP12,2018-11-01T00:00:00-03:00,23736.0
2018-12-01,2018,1,12,PNADC12_CP12,2018-12-01T00:00:00-02:00,23775.0
2019-01-01,2019,1,1,PNADC12_CP12,2019-01-01T00:00:00-02:00,23831.0
2019-02-01,2019,1,2,PNADC12_CP12,2019-02-01T00:00:00-02:00,23711.0
2019-03-01,2019,1,3,PNADC12_CP12,2019-03-01T00:00:00-03:00,23750.0
2019-04-01,2019,1,4,PNADC12_CP12,2019-04-01T00:00:00-03:00,23884.0
2019-05-01,2019,1,5,PNADC12_CP12,2019-05-01T00:00:00-03:00,24033.0
2019-06-01,2019,1,6,PNADC12_CP12,2019-06-01T00:00:00-03:00,24141.0
2019-07-01,2019,1,7,PNADC12_CP12,2019-07-01T00:00:00-03:00,24227.0
2019-08-01,2019,1,8,PNADC12_CP12,2019-08-01T00:00:00-03:00,24293.0
2019-09-01,2019,1,9,PNADC12_CP12,2019-09-01T00:00:00-03:00,24434.0
2019-10-01,2019,1,10,PNADC12_CP12,2019-10-01T00:00:00-03:00,24446.0
2019-11-01,2019,1,11,PNADC12_CP12,2019-11-01T00:00:00-03:00,24597.0
2019-12-01,2019,1,12,PNADC12_CP12,2019-12-01T00:00:00-03:00,24557.0
2020-01-01,2020,1,1,PNADC12_CP12,2020-01-01T00:00:00-03:00,24575.0
2020-02-01,2020,1,2,PNADC12_CP12,2020-02-01T00:00:00-03:00,24477.0
2020-03-01,2020,1,3,PNADC12_CP12,2020-03-01T00:00:00-03:00,24159.0
2020-04-01,2020,1,4,PNADC12_CP12,2020-04-01T00:00:00-03:00,23379.0
2020-05-01,2020,1,5,PNADC12_CP12,2020-05-01T00:00:00-03:00,22415.0
2020-06-01,2020,1,6,PNADC12_CP12,2020-06-01T00:00:00-03:00,21664.0
