DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Tonelada)
1975-01-01,1975,1,1,ABATE12_ABPEBO12,1975-01-01T00:00:00-02:00,109.136
1975-02-01,1975,1,2,ABATE12_ABPEBO12,1975-02-01T00:00:00-02:00,114.472
1975-03-01,1975,1,3,ABATE12_ABPEBO12,1975-03-01T00:00:00-03:00,139.35
1975-04-01,1975,1,4,ABATE12_ABPEBO12,1975-04-01T00:00:00-03:00,159.241
1975-05-01,1975,1,5,ABATE12_ABPEBO12,1975-05-01T00:00:00-03:00,168.334
1975-06-01,1975,1,6,ABATE12_ABPEBO12,1975-06-01T00:00:00-03:00,149.233
1975-07-01,1975,1,7,ABATE12_ABPEBO12,1975-07-01T00:00:00-03:00,126.589
1975-08-01,1975,1,8,ABATE12_ABPEBO12,1975-08-01T00:00:00-03:00,83.743
1975-09-01,1975,1,9,ABATE12_ABPEBO12,1975-09-01T00:00:00-03:00,58.392
1975-10-01,1975,1,10,ABATE12_ABPEBO12,1975-10-01T00:00:00-03:00,68.619
1975-11-01,1975,1,11,ABATE12_ABPEBO12,1975-11-01T00:00:00-03:00,105.665
1975-12-01,1975,1,12,ABATE12_ABPEBO12,1975-12-01T00:00:00-02:00,128.263
1976-01-01,1976,1,1,ABATE12_ABPEBO12,1976-01-01T00:00:00-02:00,139.143
1976-02-01,1976,1,2,ABATE12_ABPEBO12,1976-02-01T00:00:00-02:00,137.35
1976-03-01,1976,1,3,ABATE12_ABPEBO12,1976-03-01T00:00:00-03:00,169.066
1976-04-01,1976,1,4,ABATE12_ABPEBO12,1976-04-01T00:00:00-03:00,165.03
1976-05-01,1976,1,5,ABATE12_ABPEBO12,1976-05-01T00:00:00-03:00,178.528
1976-06-01,1976,1,6,ABATE12_ABPEBO12,1976-06-01T00:00:00-03:00,161.98
1976-07-01,1976,1,7,ABATE12_ABPEBO12,1976-07-01T00:00:00-03:00,141.241
1976-08-01,1976,1,8,ABATE12_ABPEBO12,1976-08-01T00:00:00-03:00,97.13
1976-09-01,1976,1,9,ABATE12_ABPEBO12,1976-09-01T00:00:00-03:00,76.538
1976-10-01,1976,1,10,ABATE12_ABPEBO12,1976-10-01T00:00:00-03:00,78.543
1976-11-01,1976,1,11,ABATE12_ABPEBO12,1976-11-01T00:00:00-03:00,86.981
1976-12-01,1976,1,12,ABATE12_ABPEBO12,1976-12-01T00:00:00-02:00,100.567
1977-01-01,1977,1,1,ABATE12_ABPEBO12,1977-01-01T00:00:00-02:00,126.518
1977-02-01,1977,1,2,ABATE12_ABPEBO12,1977-02-01T00:00:00-02:00,122.634
1977-03-01,1977,1,3,ABATE12_ABPEBO12,1977-03-01T00:00:00-03:00,176.109
1977-04-01,1977,1,4,ABATE12_ABPEBO12,1977-04-01T00:00:00-03:00,175.588
1977-05-01,1977,1,5,ABATE12_ABPEBO12,1977-05-01T00:00:00-03:00,190.912
1977-06-01,1977,1,6,ABATE12_ABPEBO12,1977-06-01T00:00:00-03:00,175.251
1977-07-01,1977,1,7,ABATE12_ABPEBO12,1977-07-01T00:00:00-03:00,149.915
1977-08-01,1977,1,8,ABATE12_ABPEBO12,1977-08-01T00:00:00-03:00,113.574
1977-09-01,1977,1,9,ABATE12_ABPEBO12,1977-09-01T00:00:00-03:00,93.741
1977-10-01,1977,1,10,ABATE12_ABPEBO12,1977-10-01T00:00:00-03:00,80.474
1977-11-01,1977,1,11,ABATE12_ABPEBO12,1977-11-01T00:00:00-03:00,100.202
1977-12-01,1977,1,12,ABATE12_ABPEBO12,1977-12-01T00:00:00-02:00,127.109
1978-01-01,1978,1,1,ABATE12_ABPEBO12,1978-01-01T00:00:00-02:00,143.434
1978-02-01,1978,1,2,ABATE12_ABPEBO12,1978-02-01T00:00:00-02:00,134.573
1978-03-01,1978,1,3,ABATE12_ABPEBO12,1978-03-01T00:00:00-03:00,164.895
1978-04-01,1978,1,4,ABATE12_ABPEBO12,1978-04-01T00:00:00-03:00,185.68
1978-05-01,1978,1,5,ABATE12_ABPEBO12,1978-05-01T00:00:00-03:00,213.676
1978-06-01,1978,1,6,ABATE12_ABPEBO12,1978-06-01T00:00:00-03:00,171.77
1978-07-01,1978,1,7,ABATE12_ABPEBO12,1978-07-01T00:00:00-03:00,144.652
1978-08-01,1978,1,8,ABATE12_ABPEBO12,1978-08-01T00:00:00-03:00,108.64
1978-09-01,1978,1,9,ABATE12_ABPEBO12,1978-09-01T00:00:00-03:00,96.36
1978-10-01,1978,1,10,ABATE12_ABPEBO12,1978-10-01T00:00:00-03:00,102.432
1978-11-01,1978,1,11,ABATE12_ABPEBO12,1978-11-01T00:00:00-03:00,113.723
1978-12-01,1978,1,12,ABATE12_ABPEBO12,1978-12-01T00:00:00-02:00,121.724
1979-01-01,1979,1,1,ABATE12_ABPEBO12,1979-01-01T00:00:00-02:00,136.108
1979-02-01,1979,1,2,ABATE12_ABPEBO12,1979-02-01T00:00:00-02:00,140.23
1979-03-01,1979,1,3,ABATE12_ABPEBO12,1979-03-01T00:00:00-03:00,167.307
1979-04-01,1979,1,4,ABATE12_ABPEBO12,1979-04-01T00:00:00-03:00,176.868
1979-05-01,1979,1,5,ABATE12_ABPEBO12,1979-05-01T00:00:00-03:00,212.319
1979-06-01,1979,1,6,ABATE12_ABPEBO12,1979-06-01T00:00:00-03:00,168.957
1979-07-01,1979,1,7,ABATE12_ABPEBO12,1979-07-01T00:00:00-03:00,131.011
1979-08-01,1979,1,8,ABATE12_ABPEBO12,1979-08-01T00:00:00-03:00,113.529
1979-09-01,1979,1,9,ABATE12_ABPEBO12,1979-09-01T00:00:00-03:00,92.031
1979-10-01,1979,1,10,ABATE12_ABPEBO12,1979-10-01T00:00:00-03:00,85.377
1979-11-01,1979,1,11,ABATE12_ABPEBO12,1979-11-01T00:00:00-03:00,102.114
1979-12-01,1979,1,12,ABATE12_ABPEBO12,1979-12-01T00:00:00-02:00,107.696
1980-01-01,1980,1,1,ABATE12_ABPEBO12,1980-01-01T00:00:00-02:00,130.883
1980-02-01,1980,1,2,ABATE12_ABPEBO12,1980-02-01T00:00:00-02:00,131.866
1980-03-01,1980,1,3,ABATE12_ABPEBO12,1980-03-01T00:00:00-03:00,177.833
1980-04-01,1980,1,4,ABATE12_ABPEBO12,1980-04-01T00:00:00-03:00,185.771
1980-05-01,1980,1,5,ABATE12_ABPEBO12,1980-05-01T00:00:00-03:00,216.411
1980-06-01,1980,1,6,ABATE12_ABPEBO12,1980-06-01T00:00:00-03:00,175.014
1980-07-01,1980,1,7,ABATE12_ABPEBO12,1980-07-01T00:00:00-03:00,149.749
1980-08-01,1980,1,8,ABATE12_ABPEBO12,1980-08-01T00:00:00-03:00,118.671
