DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$ Penúltimo mês da série)
2012-03-01,2012,1,3,PNADC12_RRPHTRDOM12,2012-03-01T00:00:00-03:00,867.0
2012-04-01,2012,1,4,PNADC12_RRPHTRDOM12,2012-04-01T00:00:00-03:00,865.0
2012-05-01,2012,1,5,PNADC12_RRPHTRDOM12,2012-05-01T00:00:00-03:00,870.0
2012-06-01,2012,1,6,PNADC12_RRPHTRDOM12,2012-06-01T00:00:00-03:00,867.0
2012-07-01,2012,1,7,PNADC12_RRPHTRDOM12,2012-07-01T00:00:00-03:00,864.0
2012-08-01,2012,1,8,PNADC12_RRPHTRDOM12,2012-08-01T00:00:00-03:00,867.0
2012-09-01,2012,1,9,PNADC12_RRPHTRDOM12,2012-09-01T00:00:00-03:00,864.0
2012-10-01,2012,1,10,PNADC12_RRPHTRDOM12,2012-10-01T00:00:00-03:00,870.0
2012-11-01,2012,1,11,PNADC12_RRPHTRDOM12,2012-11-01T00:00:00-02:00,870.0
2012-12-01,2012,1,12,PNADC12_RRPHTRDOM12,2012-12-01T00:00:00-02:00,875.0
2013-01-01,2013,1,1,PNADC12_RRPHTRDOM12,2013-01-01T00:00:00-02:00,874.0
2013-02-01,2013,1,2,PNADC12_RRPHTRDOM12,2013-02-01T00:00:00-02:00,886.0
2013-03-01,2013,1,3,PNADC12_RRPHTRDOM12,2013-03-01T00:00:00-03:00,887.0
2013-04-01,2013,1,4,PNADC12_RRPHTRDOM12,2013-04-01T00:00:00-03:00,892.0
2013-05-01,2013,1,5,PNADC12_RRPHTRDOM12,2013-05-01T00:00:00-03:00,892.0
2013-06-01,2013,1,6,PNADC12_RRPHTRDOM12,2013-06-01T00:00:00-03:00,896.0
2013-07-01,2013,1,7,PNADC12_RRPHTRDOM12,2013-07-01T00:00:00-03:00,905.0
2013-08-01,2013,1,8,PNADC12_RRPHTRDOM12,2013-08-01T00:00:00-03:00,906.0
2013-09-01,2013,1,9,PNADC12_RRPHTRDOM12,2013-09-01T00:00:00-03:00,910.0
2013-10-01,2013,1,10,PNADC12_RRPHTRDOM12,2013-10-01T00:00:00-03:00,920.0
2013-11-01,2013,1,11,PNADC12_RRPHTRDOM12,2013-11-01T00:00:00-02:00,925.0
2013-12-01,2013,1,12,PNADC12_RRPHTRDOM12,2013-12-01T00:00:00-02:00,927.0
2014-01-01,2014,1,1,PNADC12_RRPHTRDOM12,2014-01-01T00:00:00-02:00,922.0
2014-02-01,2014,1,2,PNADC12_RRPHTRDOM12,2014-02-01T00:00:00-02:00,936.0
2014-03-01,2014,1,3,PNADC12_RRPHTRDOM12,2014-03-01T00:00:00-03:00,951.0
2014-04-01,2014,1,4,PNADC12_RRPHTRDOM12,2014-04-01T00:00:00-03:00,955.0
2014-05-01,2014,1,5,PNADC12_RRPHTRDOM12,2014-05-01T00:00:00-03:00,949.0
2014-06-01,2014,1,6,PNADC12_RRPHTRDOM12,2014-06-01T00:00:00-03:00,942.0
2014-07-01,2014,1,7,PNADC12_RRPHTRDOM12,2014-07-01T00:00:00-03:00,945.0
2014-08-01,2014,1,8,PNADC12_RRPHTRDOM12,2014-08-01T00:00:00-03:00,945.0
2014-09-01,2014,1,9,PNADC12_RRPHTRDOM12,2014-09-01T00:00:00-03:00,957.0
2014-10-01,2014,1,10,PNADC12_RRPHTRDOM12,2014-10-01T00:00:00-03:00,963.0
2014-11-01,2014,1,11,PNADC12_RRPHTRDOM12,2014-11-01T00:00:00-02:00,963.0
2014-12-01,2014,1,12,PNADC12_RRPHTRDOM12,2014-12-01T00:00:00-02:00,959.0
2015-01-01,2015,1,1,PNADC12_RRPHTRDOM12,2015-01-01T00:00:00-02:00,959.0
2015-02-01,2015,1,2,PNADC12_RRPHTRDOM12,2015-02-01T00:00:00-02:00,962.0
2015-03-01,2015,1,3,PNADC12_RRPHTRDOM12,2015-03-01T00:00:00-03:00,963.0
2015-04-01,2015,1,4,PNADC12_RRPHTRDOM12,2015-04-01T00:00:00-03:00,963.0
2015-05-01,2015,1,5,PNADC12_RRPHTRDOM12,2015-05-01T00:00:00-03:00,962.0
2015-06-01,2015,1,6,PNADC12_RRPHTRDOM12,2015-06-01T00:00:00-03:00,952.0
2015-07-01,2015,1,7,PNADC12_RRPHTRDOM12,2015-07-01T00:00:00-03:00,946.0
2015-08-01,2015,1,8,PNADC12_RRPHTRDOM12,2015-08-01T00:00:00-03:00,937.0
2015-09-01,2015,1,9,PNADC12_RRPHTRDOM12,2015-09-01T00:00:00-03:00,938.0
2015-10-01,2015,1,10,PNADC12_RRPHTRDOM12,2015-10-01T00:00:00-03:00,933.0
2015-11-01,2015,1,11,PNADC12_RRPHTRDOM12,2015-11-01T00:00:00-02:00,936.0
2015-12-01,2015,1,12,PNADC12_RRPHTRDOM12,2015-12-01T00:00:00-02:00,939.0
2016-01-01,2016,1,1,PNADC12_RRPHTRDOM12,2016-01-01T00:00:00-02:00,950.0
2016-02-01,2016,1,2,PNADC12_RRPHTRDOM12,2016-02-01T00:00:00-02:00,955.0
2016-03-01,2016,1,3,PNADC12_RRPHTRDOM12,2016-03-01T00:00:00-03:00,962.0
2016-04-01,2016,1,4,PNADC12_RRPHTRDOM12,2016-04-01T00:00:00-03:00,959.0
2016-05-01,2016,1,5,PNADC12_RRPHTRDOM12,2016-05-01T00:00:00-03:00,957.0
2016-06-01,2016,1,6,PNADC12_RRPHTRDOM12,2016-06-01T00:00:00-03:00,947.0
2016-07-01,2016,1,7,PNADC12_RRPHTRDOM12,2016-07-01T00:00:00-03:00,944.0
2016-08-01,2016,1,8,PNADC12_RRPHTRDOM12,2016-08-01T00:00:00-03:00,946.0
2016-09-01,2016,1,9,PNADC12_RRPHTRDOM12,2016-09-01T00:00:00-03:00,947.0
2016-10-01,2016,1,10,PNADC12_RRPHTRDOM12,2016-10-01T00:00:00-03:00,949.0
2016-11-01,2016,1,11,PNADC12_RRPHTRDOM12,2016-11-01T00:00:00-02:00,945.0
2016-12-01,2016,1,12,PNADC12_RRPHTRDOM12,2016-12-01T00:00:00-02:00,944.0
2017-01-01,2017,1,1,PNADC12_RRPHTRDOM12,2017-01-01T00:00:00-02:00,944.0
2017-02-01,2017,1,2,PNADC12_RRPHTRDOM12,2017-02-01T00:00:00-02:00,950.0
2017-03-01,2017,1,3,PNADC12_RRPHTRDOM12,2017-03-01T00:00:00-03:00,961.0
2017-04-01,2017,1,4,PNADC12_RRPHTRDOM12,2017-04-01T00:00:00-03:00,963.0
2017-05-01,2017,1,5,PNADC12_RRPHTRDOM12,2017-05-01T00:00:00-03:00,964.0
2017-06-01,2017,1,6,PNADC12_RRPHTRDOM12,2017-06-01T00:00:00-03:00,960.0
2017-07-01,2017,1,7,PNADC12_RRPHTRDOM12,2017-07-01T00:00:00-03:00,953.0
2017-08-01,2017,1,8,PNADC12_RRPHTRDOM12,2017-08-01T00:00:00-03:00,951.0
2017-09-01,2017,1,9,PNADC12_RRPHTRDOM12,2017-09-01T00:00:00-03:00,951.0
2017-10-01,2017,1,10,PNADC12_RRPHTRDOM12,2017-10-01T00:00:00-03:00,954.0
2017-11-01,2017,1,11,PNADC12_RRPHTRDOM12,2017-11-01T00:00:00-02:00,956.0
2017-12-01,2017,1,12,PNADC12_RRPHTRDOM12,2017-12-01T00:00:00-02:00,958.0
2018-01-01,2018,1,1,PNADC12_RRPHTRDOM12,2018-01-01T00:00:00-02:00,961.0
2018-02-01,2018,1,2,PNADC12_RRPHTRDOM12,2018-02-01T00:00:00-02:00,968.0
2018-03-01,2018,1,3,PNADC12_RRPHTRDOM12,2018-03-01T00:00:00-03:00,981.0
2018-04-01,2018,1,4,PNADC12_RRPHTRDOM12,2018-04-01T00:00:00-03:00,982.0
2018-05-01,2018,1,5,PNADC12_RRPHTRDOM12,2018-05-01T00:00:00-03:00,977.0
2018-06-01,2018,1,6,PNADC12_RRPHTRDOM12,2018-06-01T00:00:00-03:00,961.0
2018-07-01,2018,1,7,PNADC12_RRPHTRDOM12,2018-07-01T00:00:00-03:00,951.0
