DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((% a.m.))
1948-11-01,1948,1,11,IGP12_IGPDIG12,1948-11-01T00:00:00-03:00,0.83
1948-12-01,1948,1,12,IGP12_IGPDIG12,1948-12-01T00:00:00-02:00,0.83
1949-01-01,1949,1,1,IGP12_IGPDIG12,1949-01-01T00:00:00-02:00,1.64
1949-02-01,1949,1,2,IGP12_IGPDIG12,1949-02-01T00:00:00-02:00,0.81
1949-03-01,1949,1,3,IGP12_IGPDIG12,1949-03-01T00:00:00-03:00,0.0
1949-04-01,1949,1,4,IGP12_IGPDIG12,1949-04-01T00:00:00-03:00,0.0
1949-05-01,1949,1,5,IGP12_IGPDIG12,1949-05-01T00:00:00-03:00,0.0
1949-06-01,1949,1,6,IGP12_IGPDIG12,1949-06-01T00:00:00-03:00,0.0
1949-07-01,1949,1,7,IGP12_IGPDIG12,1949-07-01T00:00:00-03:00,0.8
1949-08-01,1949,1,8,IGP12_IGPDIG12,1949-08-01T00:00:00-03:00,0.79
1949-09-01,1949,1,9,IGP12_IGPDIG12,1949-09-01T00:00:00-03:00,0.79
1949-10-01,1949,1,10,IGP12_IGPDIG12,1949-10-01T00:00:00-03:00,2.34
1949-11-01,1949,1,11,IGP12_IGPDIG12,1949-11-01T00:00:00-03:00,4.58
1949-12-01,1949,1,12,IGP12_IGPDIG12,1949-12-01T00:00:00-02:00,0.0
1950-01-01,1950,1,1,IGP12_IGPDIG12,1950-01-01T00:00:00-02:00,1.46
1950-02-01,1950,1,2,IGP12_IGPDIG12,1950-02-01T00:00:00-02:00,0.0
1950-03-01,1950,1,3,IGP12_IGPDIG12,1950-03-01T00:00:00-03:00,-2.16
1950-04-01,1950,1,4,IGP12_IGPDIG12,1950-04-01T00:00:00-03:00,-0.74
1950-05-01,1950,1,5,IGP12_IGPDIG12,1950-05-01T00:00:00-03:00,0.74
1950-06-01,1950,1,6,IGP12_IGPDIG12,1950-06-01T00:00:00-03:00,0.74
1950-07-01,1950,1,7,IGP12_IGPDIG12,1950-07-01T00:00:00-03:00,2.19
1950-08-01,1950,1,8,IGP12_IGPDIG12,1950-08-01T00:00:00-03:00,2.86
1950-09-01,1950,1,9,IGP12_IGPDIG12,1950-09-01T00:00:00-03:00,2.78
1950-10-01,1950,1,10,IGP12_IGPDIG12,1950-10-01T00:00:00-03:00,2.7
1950-11-01,1950,1,11,IGP12_IGPDIG12,1950-11-01T00:00:00-03:00,0.0
1950-12-01,1950,1,12,IGP12_IGPDIG12,1950-12-01T00:00:00-02:00,1.32
1951-01-01,1951,1,1,IGP12_IGPDIG12,1951-01-01T00:00:00-02:00,3.25
1951-02-01,1951,1,2,IGP12_IGPDIG12,1951-02-01T00:00:00-02:00,1.26
1951-03-01,1951,1,3,IGP12_IGPDIG12,1951-03-01T00:00:00-03:00,2.48
1951-04-01,1951,1,4,IGP12_IGPDIG12,1951-04-01T00:00:00-03:00,1.21
1951-05-01,1951,1,5,IGP12_IGPDIG12,1951-05-01T00:00:00-03:00,1.2
1951-06-01,1951,1,6,IGP12_IGPDIG12,1951-06-01T00:00:00-03:00,-1.18
1951-07-01,1951,1,7,IGP12_IGPDIG12,1951-07-01T00:00:00-03:00,-2.4
1951-08-01,1951,1,8,IGP12_IGPDIG12,1951-08-01T00:00:00-03:00,1.23
1951-09-01,1951,1,9,IGP12_IGPDIG12,1951-09-01T00:00:00-03:00,0.61
1951-10-01,1951,1,10,IGP12_IGPDIG12,1951-10-01T00:00:00-03:00,1.81
1951-11-01,1951,1,11,IGP12_IGPDIG12,1951-11-01T00:00:00-03:00,0.59
1951-12-01,1951,1,12,IGP12_IGPDIG12,1951-12-01T00:00:00-02:00,1.76
1952-01-01,1952,1,1,IGP12_IGPDIG12,1952-01-01T00:00:00-02:00,3.47
1952-02-01,1952,1,2,IGP12_IGPDIG12,1952-02-01T00:00:00-02:00,1.68
1952-03-01,1952,1,3,IGP12_IGPDIG12,1952-03-01T00:00:00-03:00,0.0
1952-04-01,1952,1,4,IGP12_IGPDIG12,1952-04-01T00:00:00-03:00,0.0
1952-05-01,1952,1,5,IGP12_IGPDIG12,1952-05-01T00:00:00-03:00,0.55
1952-06-01,1952,1,6,IGP12_IGPDIG12,1952-06-01T00:00:00-03:00,0.55
1952-07-01,1952,1,7,IGP12_IGPDIG12,1952-07-01T00:00:00-03:00,1.63
1952-08-01,1952,1,8,IGP12_IGPDIG12,1952-08-01T00:00:00-03:00,0.53
1952-09-01,1952,1,9,IGP12_IGPDIG12,1952-09-01T00:00:00-03:00,-0.53
1952-10-01,1952,1,10,IGP12_IGPDIG12,1952-10-01T00:00:00-03:00,0.53
1952-11-01,1952,1,11,IGP12_IGPDIG12,1952-11-01T00:00:00-03:00,2.66
1952-12-01,1952,1,12,IGP12_IGPDIG12,1952-12-01T00:00:00-02:00,1.04
1953-01-01,1953,1,1,IGP12_IGPDIG12,1953-01-01T00:00:00-02:00,1.03
1953-02-01,1953,1,2,IGP12_IGPDIG12,1953-02-01T00:00:00-02:00,1.02
1953-03-01,1953,1,3,IGP12_IGPDIG12,1953-03-01T00:00:00-03:00,2.51
1953-04-01,1953,1,4,IGP12_IGPDIG12,1953-04-01T00:00:00-03:00,0.0
1953-05-01,1953,1,5,IGP12_IGPDIG12,1953-05-01T00:00:00-03:00,-0.49
1953-06-01,1953,1,6,IGP12_IGPDIG12,1953-06-01T00:00:00-03:00,1.48
1953-07-01,1953,1,7,IGP12_IGPDIG12,1953-07-01T00:00:00-03:00,1.94
1953-08-01,1953,1,8,IGP12_IGPDIG12,1953-08-01T00:00:00-03:00,3.81
1953-09-01,1953,1,9,IGP12_IGPDIG12,1953-09-01T00:00:00-03:00,1.38
1953-10-01,1953,1,10,IGP12_IGPDIG12,1953-10-01T00:00:00-03:00,2.71
1953-11-01,1953,1,11,IGP12_IGPDIG12,1953-11-01T00:00:00-03:00,1.32
1953-12-01,1953,1,12,IGP12_IGPDIG12,1953-12-01T00:00:00-02:00,2.17
1954-01-01,1954,1,1,IGP12_IGPDIG12,1954-01-01T00:00:00-02:00,2.93
1954-02-01,1954,1,2,IGP12_IGPDIG12,1954-02-01T00:00:00-02:00,2.48
1954-03-01,1954,1,3,IGP12_IGPDIG12,1954-03-01T00:00:00-03:00,1.93
1954-04-01,1954,1,4,IGP12_IGPDIG12,1954-04-01T00:00:00-03:00,3.79
1954-05-01,1954,1,5,IGP12_IGPDIG12,1954-05-01T00:00:00-03:00,1.83
1954-06-01,1954,1,6,IGP12_IGPDIG12,1954-06-01T00:00:00-03:00,1.35
1954-07-01,1954,1,7,IGP12_IGPDIG12,1954-07-01T00:00:00-03:00,1.33
1954-08-01,1954,1,8,IGP12_IGPDIG12,1954-08-01T00:00:00-03:00,0.87
1954-09-01,1954,1,9,IGP12_IGPDIG12,1954-09-01T00:00:00-03:00,2.6
1954-10-01,1954,1,10,IGP12_IGPDIG12,1954-10-01T00:00:00-03:00,0.42
1954-11-01,1954,1,11,IGP12_IGPDIG12,1954-11-01T00:00:00-03:00,2.1
1954-12-01,1954,1,12,IGP12_IGPDIG12,1954-12-01T00:00:00-02:00,1.65
1955-01-01,1955,1,1,IGP12_IGPDIG12,1955-01-01T00:00:00-02:00,1.62
1955-02-01,1955,1,2,IGP12_IGPDIG12,1955-02-01T00:00:00-02:00,0.0
1955-03-01,1955,1,3,IGP12_IGPDIG12,1955-03-01T00:00:00-03:00,0.8
1955-04-01,1955,1,4,IGP12_IGPDIG12,1955-04-01T00:00:00-03:00,1.98
1955-05-01,1955,1,5,IGP12_IGPDIG12,1955-05-01T00:00:00-03:00,0.0
1955-06-01,1955,1,6,IGP12_IGPDIG12,1955-06-01T00:00:00-03:00,0.0
1955-07-01,1955,1,7,IGP12_IGPDIG12,1955-07-01T00:00:00-03:00,1.16
1955-08-01,1955,1,8,IGP12_IGPDIG12,1955-08-01T00:00:00-03:00,1.92
1955-09-01,1955,1,9,IGP12_IGPDIG12,1955-09-01T00:00:00-03:00,2.26
1955-10-01,1955,1,10,IGP12_IGPDIG12,1955-10-01T00:00:00-03:00,1.1
1955-11-01,1955,1,11,IGP12_IGPDIG12,1955-11-01T00:00:00-03:00,0.36
1955-12-01,1955,1,12,IGP12_IGPDIG12,1955-12-01T00:00:00-02:00,0.36
1956-01-01,1956,1,1,IGP12_IGPDIG12,1956-01-01T00:00:00-02:00,1.81
1956-02-01,1956,1,2,IGP12_IGPDIG12,1956-02-01T00:00:00-02:00,2.84
1956-03-01,1956,1,3,IGP12_IGPDIG12,1956-03-01T00:00:00-03:00,1.38
1956-04-01,1956,1,4,IGP12_IGPDIG12,1956-04-01T00:00:00-03:00,0.34
1956-05-01,1956,1,5,IGP12_IGPDIG12,1956-05-01T00:00:00-03:00,3.05
1956-06-01,1956,1,6,IGP12_IGPDIG12,1956-06-01T00:00:00-03:00,2.96
1956-07-01,1956,1,7,IGP12_IGPDIG12,1956-07-01T00:00:00-03:00,1.6
1956-08-01,1956,1,8,IGP12_IGPDIG12,1956-08-01T00:00:00-03:00,1.89
1956-09-01,1956,1,9,IGP12_IGPDIG12,1956-09-01T00:00:00-03:00,3.4
1956-10-01,1956,1,10,IGP12_IGPDIG12,1956-10-01T00:00:00-03:00,1.49
1956-11-01,1956,1,11,IGP12_IGPDIG12,1956-11-01T00:00:00-03:00,1.18
1956-12-01,1956,1,12,IGP12_IGPDIG12,1956-12-01T00:00:00-02:00,0.29
1957-01-01,1957,1,1,IGP12_IGPDIG12,1957-01-01T00:00:00-02:00,4.35
1957-02-01,1957,1,2,IGP12_IGPDIG12,1957-02-01T00:00:00-02:00,0.0
1957-03-01,1957,1,3,IGP12_IGPDIG12,1957-03-01T00:00:00-03:00,-0.28
1957-04-01,1957,1,4,IGP12_IGPDIG12,1957-04-01T00:00:00-03:00,-0.28
1957-05-01,1957,1,5,IGP12_IGPDIG12,1957-05-01T00:00:00-03:00,-0.28
1957-06-01,1957,1,6,IGP12_IGPDIG12,1957-06-01T00:00:00-03:00,0.0
1957-07-01,1957,1,7,IGP12_IGPDIG12,1957-07-01T00:00:00-03:00,0.28
1957-08-01,1957,1,8,IGP12_IGPDIG12,1957-08-01T00:00:00-03:00,0.56
1957-09-01,1957,1,9,IGP12_IGPDIG12,1957-09-01T00:00:00-03:00,-0.28
1957-10-01,1957,1,10,IGP12_IGPDIG12,1957-10-01T00:00:00-03:00,0.28
1957-11-01,1957,1,11,IGP12_IGPDIG12,1957-11-01T00:00:00-03:00,1.11
1957-12-01,1957,1,12,IGP12_IGPDIG12,1957-12-01T00:00:00-02:00,1.37
1958-01-01,1958,1,1,IGP12_IGPDIG12,1958-01-01T00:00:00-02:00,1.36
1958-02-01,1958,1,2,IGP12_IGPDIG12,1958-02-01T00:00:00-02:00,0.53
1958-03-01,1958,1,3,IGP12_IGPDIG12,1958-03-01T00:00:00-03:00,1.33
1958-04-01,1958,1,4,IGP12_IGPDIG12,1958-04-01T00:00:00-03:00,1.31
1958-05-01,1958,1,5,IGP12_IGPDIG12,1958-05-01T00:00:00-03:00,1.81
