DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((Unidade))
1990-01-01,1990,1,1,FENABRAVE12_VENDAUTO12,1990-01-01T00:00:00-02:00,52233.0
1990-02-01,1990,1,2,FENABRAVE12_VENDAUTO12,1990-02-01T00:00:00-02:00,41228.0
1990-03-01,1990,1,3,FENABRAVE12_VENDAUTO12,1990-03-01T00:00:00-03:00,24353.0
1990-04-01,1990,1,4,FENABRAVE12_VENDAUTO12,1990-04-01T00:00:00-03:00,23705.0
1990-05-01,1990,1,5,FENABRAVE12_VENDAUTO12,1990-05-01T00:00:00-03:00,44062.0
1990-06-01,1990,1,6,FENABRAVE12_VENDAUTO12,1990-06-01T00:00:00-03:00,27130.0
1990-07-01,1990,1,7,FENABRAVE12_VENDAUTO12,1990-07-01T00:00:00-03:00,32537.0
1990-08-01,1990,1,8,FENABRAVE12_VENDAUTO12,1990-08-01T00:00:00-03:00,64831.0
1990-09-01,1990,1,9,FENABRAVE12_VENDAUTO12,1990-09-01T00:00:00-03:00,56181.0
1990-10-01,1990,1,10,FENABRAVE12_VENDAUTO12,1990-10-01T00:00:00-03:00,60823.0
1990-11-01,1990,1,11,FENABRAVE12_VENDAUTO12,1990-11-01T00:00:00-03:00,56113.0
1990-12-01,1990,1,12,FENABRAVE12_VENDAUTO12,1990-12-01T00:00:00-02:00,49643.0
1991-01-01,1991,1,1,FENABRAVE12_VENDAUTO12,1991-01-01T00:00:00-02:00,46333.0
1991-02-01,1991,1,2,FENABRAVE12_VENDAUTO12,1991-02-01T00:00:00-02:00,44841.0
1991-03-01,1991,1,3,FENABRAVE12_VENDAUTO12,1991-03-01T00:00:00-03:00,50278.0
1991-04-01,1991,1,4,FENABRAVE12_VENDAUTO12,1991-04-01T00:00:00-03:00,29848.0
1991-05-01,1991,1,5,FENABRAVE12_VENDAUTO12,1991-05-01T00:00:00-03:00,42862.0
1991-06-01,1991,1,6,FENABRAVE12_VENDAUTO12,1991-06-01T00:00:00-03:00,50689.0
1991-07-01,1991,1,7,FENABRAVE12_VENDAUTO12,1991-07-01T00:00:00-03:00,64343.0
1991-08-01,1991,1,8,FENABRAVE12_VENDAUTO12,1991-08-01T00:00:00-03:00,59727.0
1991-09-01,1991,1,9,FENABRAVE12_VENDAUTO12,1991-09-01T00:00:00-03:00,56078.0
1991-10-01,1991,1,10,FENABRAVE12_VENDAUTO12,1991-10-01T00:00:00-03:00,61178.0
1991-11-01,1991,1,11,FENABRAVE12_VENDAUTO12,1991-11-01T00:00:00-03:00,54214.0
1991-12-01,1991,1,12,FENABRAVE12_VENDAUTO12,1991-12-01T00:00:00-02:00,44009.0
1992-01-01,1992,1,1,FENABRAVE12_VENDAUTO12,1992-01-01T00:00:00-02:00,45564.0
1992-02-01,1992,1,2,FENABRAVE12_VENDAUTO12,1992-02-01T00:00:00-02:00,35670.0
