DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Porcentagem)
2013-01-01,2013,1,1,DIMAC_ICTI2,2013-01-01T00:00:00-02:00,0.276424388339747
2013-02-01,2013,1,2,DIMAC_ICTI2,2013-02-01T00:00:00-02:00,0.42966601733041
2013-03-01,2013,1,3,DIMAC_ICTI2,2013-03-01T00:00:00-03:00,0.446829453532227
2013-04-01,2013,1,4,DIMAC_ICTI2,2013-04-01T00:00:00-03:00,0.418657912680498
2013-05-01,2013,1,5,DIMAC_ICTI2,2013-05-01T00:00:00-03:00,0.601280962670847
2013-06-01,2013,1,6,DIMAC_ICTI2,2013-06-01T00:00:00-03:00,0.664934769989234
2013-07-01,2013,1,7,DIMAC_ICTI2,2013-07-01T00:00:00-03:00,0.426599681641582
2013-08-01,2013,1,8,DIMAC_ICTI2,2013-08-01T00:00:00-03:00,0.586160581342043
2013-09-01,2013,1,9,DIMAC_ICTI2,2013-09-01T00:00:00-03:00,0.483551747807076
2013-10-01,2013,1,10,DIMAC_ICTI2,2013-10-01T00:00:00-03:00,0.470437856514394
2013-11-01,2013,1,11,DIMAC_ICTI2,2013-11-01T00:00:00-02:00,0.702096871967628
2013-12-01,2013,1,12,DIMAC_ICTI2,2013-12-01T00:00:00-02:00,0.943438361760141
2014-01-01,2014,1,1,DIMAC_ICTI2,2014-01-01T00:00:00-02:00,0.309433785832813
2014-02-01,2014,1,2,DIMAC_ICTI2,2014-02-01T00:00:00-02:00,0.143549710632329
2014-03-01,2014,1,3,DIMAC_ICTI2,2014-03-01T00:00:00-03:00,0.451904434418804
2014-04-01,2014,1,4,DIMAC_ICTI2,2014-04-01T00:00:00-03:00,0.00773474325808099
2014-05-01,2014,1,5,DIMAC_ICTI2,2014-05-01T00:00:00-03:00,0.0487067067634905
2014-06-01,2014,1,6,DIMAC_ICTI2,2014-06-01T00:00:00-03:00,0.164174610568879
2014-07-01,2014,1,7,DIMAC_ICTI2,2014-07-01T00:00:00-03:00,0.115149961877892
2014-08-01,2014,1,8,DIMAC_ICTI2,2014-08-01T00:00:00-03:00,0.443015330558727
2014-09-01,2014,1,9,DIMAC_ICTI2,2014-09-01T00:00:00-03:00,0.287040701974028
