DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Porcentagem)
2014-10-01,2014,1,10,DIMAC_ICTI2,2014-10-01T00:00:00-03:00,-0.0546581791897705
2014-11-01,2014,1,11,DIMAC_ICTI2,2014-11-01T00:00:00-02:00,-0.0672127742770479
2014-12-01,2014,1,12,DIMAC_ICTI2,2014-12-01T00:00:00-02:00,0.0767192368653191
2015-01-01,2015,1,1,DIMAC_ICTI2,2015-01-01T00:00:00-02:00,0.832707737148897
2015-02-01,2015,1,2,DIMAC_ICTI2,2015-02-01T00:00:00-02:00,0.701741892221319
2015-03-01,2015,1,3,DIMAC_ICTI2,2015-03-01T00:00:00-03:00,0.581556400399097
2015-04-01,2015,1,4,DIMAC_ICTI2,2015-04-01T00:00:00-03:00,0.634929230983117
2015-05-01,2015,1,5,DIMAC_ICTI2,2015-05-01T00:00:00-03:00,0.930270713463432
2015-06-01,2015,1,6,DIMAC_ICTI2,2015-06-01T00:00:00-03:00,0.404264870942805
2015-07-01,2015,1,7,DIMAC_ICTI2,2015-07-01T00:00:00-03:00,0.704247467818164
2015-08-01,2015,1,8,DIMAC_ICTI2,2015-08-01T00:00:00-03:00,0.417317240594017
2015-09-01,2015,1,9,DIMAC_ICTI2,2015-09-01T00:00:00-03:00,1.13515867326652
2015-10-01,2015,1,10,DIMAC_ICTI2,2015-10-01T00:00:00-03:00,1.50218835951244
2015-11-01,2015,1,11,DIMAC_ICTI2,2015-11-01T00:00:00-02:00,1.11891741667247
2015-12-01,2015,1,12,DIMAC_ICTI2,2015-12-01T00:00:00-02:00,1.08922761956316
2016-01-01,2016,1,1,DIMAC_ICTI2,2016-01-01T00:00:00-02:00,1.14766625495324
2016-02-01,2016,1,2,DIMAC_ICTI2,2016-02-01T00:00:00-02:00,0.760844238802938
2016-03-01,2016,1,3,DIMAC_ICTI2,2016-03-01T00:00:00-03:00,0.958190548834081
2016-04-01,2016,1,4,DIMAC_ICTI2,2016-04-01T00:00:00-03:00,0.597955428306629
2016-05-01,2016,1,5,DIMAC_ICTI2,2016-05-01T00:00:00-03:00,0.381656072119707
2016-06-01,2016,1,6,DIMAC_ICTI2,2016-06-01T00:00:00-03:00,0.506541782602254
2016-07-01,2016,1,7,DIMAC_ICTI2,2016-07-01T00:00:00-03:00,0.308860587576443
2016-08-01,2016,1,8,DIMAC_ICTI2,2016-08-01T00:00:00-03:00,0.507764859402426
2016-09-01,2016,1,9,DIMAC_ICTI2,2016-09-01T00:00:00-03:00,0.302637927976268
2016-10-01,2016,1,10,DIMAC_ICTI2,2016-10-01T00:00:00-03:00,0.393995892191112
2016-11-01,2016,1,11,DIMAC_ICTI2,2016-11-01T00:00:00-02:00,0.388720607755055
2016-12-01,2016,1,12,DIMAC_ICTI2,2016-12-01T00:00:00-02:00,0.61340461427164
2017-01-01,2017,1,1,DIMAC_ICTI2,2017-01-01T00:00:00-02:00,0.694155709601452
2017-02-01,2017,1,2,DIMAC_ICTI2,2017-02-01T00:00:00-02:00,0.591525272251991
2017-03-01,2017,1,3,DIMAC_ICTI2,2017-03-01T00:00:00-03:00,0.50331820724927
2017-04-01,2017,1,4,DIMAC_ICTI2,2017-04-01T00:00:00-03:00,0.337462283237921
2017-05-01,2017,1,5,DIMAC_ICTI2,2017-05-01T00:00:00-03:00,0.321359246123665
2017-06-01,2017,1,6,DIMAC_ICTI2,2017-06-01T00:00:00-03:00,0.292111003309214
2017-07-01,2017,1,7,DIMAC_ICTI2,2017-07-01T00:00:00-03:00,0.403865011340798
2017-08-01,2017,1,8,DIMAC_ICTI2,2017-08-01T00:00:00-03:00,0.51802995939807
2017-09-01,2017,1,9,DIMAC_ICTI2,2017-09-01T00:00:00-03:00,0.485760600890606
2017-10-01,2017,1,10,DIMAC_ICTI2,2017-10-01T00:00:00-03:00,0.511092593305884
2017-11-01,2017,1,11,DIMAC_ICTI2,2017-11-01T00:00:00-02:00,0.55361455280476
2017-12-01,2017,1,12,DIMAC_ICTI2,2017-12-01T00:00:00-02:00,0.661753116232844
2018-01-01,2018,1,1,DIMAC_ICTI2,2018-01-01T00:00:00-02:00,0.303662160675855
2018-02-01,2018,1,2,DIMAC_ICTI2,2018-02-01T00:00:00-02:00,-0.0876507675403926
2018-03-01,2018,1,3,DIMAC_ICTI2,2018-03-01T00:00:00-03:00,0.125725766789175
2018-04-01,2018,1,4,DIMAC_ICTI2,2018-04-01T00:00:00-03:00,0.162897153073205
2018-05-01,2018,1,5,DIMAC_ICTI2,2018-05-01T00:00:00-03:00,0.418682276906912
2018-06-01,2018,1,6,DIMAC_ICTI2,2018-06-01T00:00:00-03:00,0.672594125011949
2018-07-01,2018,1,7,DIMAC_ICTI2,2018-07-01T00:00:00-03:00,0.0410180819587991
2018-08-01,2018,1,8,DIMAC_ICTI2,2018-08-01T00:00:00-03:00,0.165187956245605
2018-09-01,2018,1,9,DIMAC_ICTI2,2018-09-01T00:00:00-03:00,0.244533886440768
2018-10-01,2018,1,10,DIMAC_ICTI2,2018-10-01T00:00:00-03:00,0.50681380695643
2018-11-01,2018,1,11,DIMAC_ICTI2,2018-11-01T00:00:00-03:00,-0.00843007668022144
2018-12-01,2018,1,12,DIMAC_ICTI2,2018-12-01T00:00:00-02:00,4.82228961138365e-05
2019-01-01,2019,1,1,DIMAC_ICTI2,2019-01-01T00:00:00-02:00,0.67983264149023
2019-02-01,2019,1,2,DIMAC_ICTI2,2019-02-01T00:00:00-02:00,0.661257828908846
2019-03-01,2019,1,3,DIMAC_ICTI2,2019-03-01T00:00:00-03:00,0.73
2019-04-01,2019,1,4,DIMAC_ICTI2,2019-04-01T00:00:00-03:00,0.525832946532967
2019-05-01,2019,1,5,DIMAC_ICTI2,2019-05-01T00:00:00-03:00,0.441925105208196
2019-06-01,2019,1,6,DIMAC_ICTI2,2019-06-01T00:00:00-03:00,0.564115656991837
2019-07-01,2019,1,7,DIMAC_ICTI2,2019-07-01T00:00:00-03:00,0.410925903261927
2019-08-01,2019,1,8,DIMAC_ICTI2,2019-08-01T00:00:00-03:00,0.383292084165809
2019-09-01,2019,1,9,DIMAC_ICTI2,2019-09-01T00:00:00-03:00,0.528804152448026
2019-10-01,2019,1,10,DIMAC_ICTI2,2019-10-01T00:00:00-03:00,0.263036265379779
2019-11-01,2019,1,11,DIMAC_ICTI2,2019-11-01T00:00:00-03:00,0.250157967165578
2019-12-01,2019,1,12,DIMAC_ICTI2,2019-12-01T00:00:00-03:00,0.631257271267064
2020-01-01,2020,1,1,DIMAC_ICTI2,2020-01-01T00:00:00-03:00,0.441299617621051
2020-02-01,2020,1,2,DIMAC_ICTI2,2020-02-01T00:00:00-03:00,0.387395483578042
2020-03-01,2020,1,3,DIMAC_ICTI2,2020-03-01T00:00:00-03:00,0.731710082976954
2020-04-01,2020,1,4,DIMAC_ICTI2,2020-04-01T00:00:00-03:00,0.623617604598491
2020-05-01,2020,1,5,DIMAC_ICTI2,2020-05-01T00:00:00-03:00,0.257241507863639
2020-06-01,2020,1,6,DIMAC_ICTI2,2020-06-01T00:00:00-03:00,0.326498795118005
2020-07-01,2020,1,7,DIMAC_ICTI2,2020-07-01T00:00:00-03:00,0.960132809352083
2020-08-01,2020,1,8,DIMAC_ICTI2,2020-08-01T00:00:00-03:00,0.625736240286529
2020-09-01,2020,1,9,DIMAC_ICTI2,2020-09-01T00:00:00-03:00,1.22415164139937
2020-10-01,2020,1,10,DIMAC_ICTI2,2020-10-01T00:00:00-03:00,0.659111497634084
2020-11-01,2020,1,11,DIMAC_ICTI2,2020-11-01T00:00:00-03:00,0.672035538981898
