DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Barril)
1984-07-01,1984,1,7,ANP12_CDEPET12,1984-07-01T00:00:00-03:00,940.0
1984-08-01,1984,1,8,ANP12_CDEPET12,1984-08-01T00:00:00-03:00,1033.0
1984-09-01,1984,1,9,ANP12_CDEPET12,1984-09-01T00:00:00-03:00,930.0
1984-10-01,1984,1,10,ANP12_CDEPET12,1984-10-01T00:00:00-03:00,1119.0
1984-11-01,1984,1,11,ANP12_CDEPET12,1984-11-01T00:00:00-03:00,928.0
1984-12-01,1984,1,12,ANP12_CDEPET12,1984-12-01T00:00:00-02:00,1066.0
1985-01-01,1985,1,1,ANP12_CDEPET12,1985-01-01T00:00:00-02:00,869.0
1985-02-01,1985,1,2,ANP12_CDEPET12,1985-02-01T00:00:00-02:00,983.0
1985-03-01,1985,1,3,ANP12_CDEPET12,1985-03-01T00:00:00-03:00,811.0
1985-04-01,1985,1,4,ANP12_CDEPET12,1985-04-01T00:00:00-03:00,901.0
1985-05-01,1985,1,5,ANP12_CDEPET12,1985-05-01T00:00:00-03:00,940.0
1985-06-01,1985,1,6,ANP12_CDEPET12,1985-06-01T00:00:00-03:00,943.0
1985-07-01,1985,1,7,ANP12_CDEPET12,1985-07-01T00:00:00-03:00,978.0
1985-08-01,1985,1,8,ANP12_CDEPET12,1985-08-01T00:00:00-03:00,1021.0
1985-09-01,1985,1,9,ANP12_CDEPET12,1985-09-01T00:00:00-03:00,999.0
1985-10-01,1985,1,10,ANP12_CDEPET12,1985-10-01T00:00:00-03:00,1058.0
1985-11-01,1985,1,11,ANP12_CDEPET12,1985-11-01T00:00:00-03:00,1029.0
1985-12-01,1985,1,12,ANP12_CDEPET12,1985-12-01T00:00:00-02:00,1107.0
1986-01-01,1986,1,1,ANP12_CDEPET12,1986-01-01T00:00:00-02:00,993.0
1986-02-01,1986,1,2,ANP12_CDEPET12,1986-02-01T00:00:00-02:00,976.0
1986-03-01,1986,1,3,ANP12_CDEPET12,1986-03-01T00:00:00-03:00,919.0
1986-04-01,1986,1,4,ANP12_CDEPET12,1986-04-01T00:00:00-03:00,986.0
1986-05-01,1986,1,5,ANP12_CDEPET12,1986-05-01T00:00:00-03:00,1051.0
1986-06-01,1986,1,6,ANP12_CDEPET12,1986-06-01T00:00:00-03:00,1047.0
1986-07-01,1986,1,7,ANP12_CDEPET12,1986-07-01T00:00:00-03:00,1098.0
1986-08-01,1986,1,8,ANP12_CDEPET12,1986-08-01T00:00:00-03:00,1128.0
1986-09-01,1986,1,9,ANP12_CDEPET12,1986-09-01T00:00:00-03:00,1169.0
1986-10-01,1986,1,10,ANP12_CDEPET12,1986-10-01T00:00:00-03:00,1220.0
1986-11-01,1986,1,11,ANP12_CDEPET12,1986-11-01T00:00:00-03:00,1207.0
1986-12-01,1986,1,12,ANP12_CDEPET12,1986-12-01T00:00:00-02:00,1290.0
1987-01-01,1987,1,1,ANP12_CDEPET12,1987-01-01T00:00:00-02:00,1129.0
1987-02-01,1987,1,2,ANP12_CDEPET12,1987-02-01T00:00:00-02:00,1139.0
1987-03-01,1987,1,3,ANP12_CDEPET12,1987-03-01T00:00:00-03:00,1008.0
1987-04-01,1987,1,4,ANP12_CDEPET12,1987-04-01T00:00:00-03:00,1113.0
1987-05-01,1987,1,5,ANP12_CDEPET12,1987-05-01T00:00:00-03:00,1096.0
1987-06-01,1987,1,6,ANP12_CDEPET12,1987-06-01T00:00:00-03:00,1029.0
1987-07-01,1987,1,7,ANP12_CDEPET12,1987-07-01T00:00:00-03:00,1097.0
1987-08-01,1987,1,8,ANP12_CDEPET12,1987-08-01T00:00:00-03:00,1155.0
1987-09-01,1987,1,9,ANP12_CDEPET12,1987-09-01T00:00:00-03:00,1124.0
1987-10-01,1987,1,10,ANP12_CDEPET12,1987-10-01T00:00:00-03:00,949.0
1987-11-01,1987,1,11,ANP12_CDEPET12,1987-11-01T00:00:00-03:00,1114.0
1987-12-01,1987,1,12,ANP12_CDEPET12,1987-12-01T00:00:00-02:00,1247.0
1988-01-01,1988,1,1,ANP12_CDEPET12,1988-01-01T00:00:00-02:00,1039.0
1988-02-01,1988,1,2,ANP12_CDEPET12,1988-02-01T00:00:00-02:00,1020.0
1988-03-01,1988,1,3,ANP12_CDEPET12,1988-03-01T00:00:00-03:00,1128.0
1988-04-01,1988,1,4,ANP12_CDEPET12,1988-04-01T00:00:00-03:00,1096.0
1988-05-01,1988,1,5,ANP12_CDEPET12,1988-05-01T00:00:00-03:00,1100.0
1988-06-01,1988,1,6,ANP12_CDEPET12,1988-06-01T00:00:00-03:00,1154.0
1988-07-01,1988,1,7,ANP12_CDEPET12,1988-07-01T00:00:00-03:00,1169.0
1988-08-01,1988,1,8,ANP12_CDEPET12,1988-08-01T00:00:00-03:00,1160.0
1988-09-01,1988,1,9,ANP12_CDEPET12,1988-09-01T00:00:00-03:00,1213.0
1988-10-01,1988,1,10,ANP12_CDEPET12,1988-10-01T00:00:00-03:00,1110.0
1988-11-01,1988,1,11,ANP12_CDEPET12,1988-11-01T00:00:00-03:00,1123.0
1988-12-01,1988,1,12,ANP12_CDEPET12,1988-12-01T00:00:00-02:00,1286.0
1989-01-01,1989,1,1,ANP12_CDEPET12,1989-01-01T00:00:00-02:00,984.0
1989-02-01,1989,1,2,ANP12_CDEPET12,1989-02-01T00:00:00-02:00,1065.0
1989-03-01,1989,1,3,ANP12_CDEPET12,1989-03-01T00:00:00-03:00,1089.0
1989-04-01,1989,1,4,ANP12_CDEPET12,1989-04-01T00:00:00-03:00,1145.0
1989-05-01,1989,1,5,ANP12_CDEPET12,1989-05-01T00:00:00-03:00,1166.0
1989-06-01,1989,1,6,ANP12_CDEPET12,1989-06-01T00:00:00-03:00,1209.0
1989-07-01,1989,1,7,ANP12_CDEPET12,1989-07-01T00:00:00-03:00,1216.0
1989-08-01,1989,1,8,ANP12_CDEPET12,1989-08-01T00:00:00-03:00,1248.0
1989-09-01,1989,1,9,ANP12_CDEPET12,1989-09-01T00:00:00-03:00,1232.0
1989-10-01,1989,1,10,ANP12_CDEPET12,1989-10-01T00:00:00-03:00,1223.0
1989-11-01,1989,1,11,ANP12_CDEPET12,1989-11-01T00:00:00-03:00,1217.0
1989-12-01,1989,1,12,ANP12_CDEPET12,1989-12-01T00:00:00-02:00,1274.0
1990-01-01,1990,1,1,ANP12_CDEPET12,1990-01-01T00:00:00-02:00,1009.0
1990-02-01,1990,1,2,ANP12_CDEPET12,1990-02-01T00:00:00-02:00,1146.0
1990-03-01,1990,1,3,ANP12_CDEPET12,1990-03-01T00:00:00-03:00,1013.0
1990-04-01,1990,1,4,ANP12_CDEPET12,1990-04-01T00:00:00-03:00,1012.0
1990-05-01,1990,1,5,ANP12_CDEPET12,1990-05-01T00:00:00-03:00,1195.0
1990-06-01,1990,1,6,ANP12_CDEPET12,1990-06-01T00:00:00-03:00,1160.0
1990-07-01,1990,1,7,ANP12_CDEPET12,1990-07-01T00:00:00-03:00,1284.0
1990-08-01,1990,1,8,ANP12_CDEPET12,1990-08-01T00:00:00-03:00,1308.0
1990-09-01,1990,1,9,ANP12_CDEPET12,1990-09-01T00:00:00-03:00,1267.0
1990-10-01,1990,1,10,ANP12_CDEPET12,1990-10-01T00:00:00-03:00,1271.0
1990-11-01,1990,1,11,ANP12_CDEPET12,1990-11-01T00:00:00-03:00,1177.0
1990-12-01,1990,1,12,ANP12_CDEPET12,1990-12-01T00:00:00-02:00,1112.0
1991-01-01,1991,1,1,ANP12_CDEPET12,1991-01-01T00:00:00-02:00,929.0
1991-02-01,1991,1,2,ANP12_CDEPET12,1991-02-01T00:00:00-02:00,838.0
1991-03-01,1991,1,3,ANP12_CDEPET12,1991-03-01T00:00:00-03:00,788.0
1991-04-01,1991,1,4,ANP12_CDEPET12,1991-04-01T00:00:00-03:00,989.0
1991-05-01,1991,1,5,ANP12_CDEPET12,1991-05-01T00:00:00-03:00,1040.0
1991-06-01,1991,1,6,ANP12_CDEPET12,1991-06-01T00:00:00-03:00,1020.0
1991-07-01,1991,1,7,ANP12_CDEPET12,1991-07-01T00:00:00-03:00,1069.0
1991-08-01,1991,1,8,ANP12_CDEPET12,1991-08-01T00:00:00-03:00,1114.0
1991-09-01,1991,1,9,ANP12_CDEPET12,1991-09-01T00:00:00-03:00,1048.0
1991-10-01,1991,1,10,ANP12_CDEPET12,1991-10-01T00:00:00-03:00,1150.0
1991-11-01,1991,1,11,ANP12_CDEPET12,1991-11-01T00:00:00-03:00,1073.0
1991-12-01,1991,1,12,ANP12_CDEPET12,1991-12-01T00:00:00-02:00,990.0
