DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Unidade)
1987-01-01,1987,1,1,ACSP12_SCPCC12,1987-01-01T00:00:00-02:00,574143.0
1987-02-01,1987,1,2,ACSP12_SCPCC12,1987-02-01T00:00:00-02:00,555309.0
1987-03-01,1987,1,3,ACSP12_SCPCC12,1987-03-01T00:00:00-03:00,579508.0
1987-04-01,1987,1,4,ACSP12_SCPCC12,1987-04-01T00:00:00-03:00,675866.0
1987-05-01,1987,1,5,ACSP12_SCPCC12,1987-05-01T00:00:00-03:00,863382.0
1987-06-01,1987,1,6,ACSP12_SCPCC12,1987-06-01T00:00:00-03:00,805964.0
1987-07-01,1987,1,7,ACSP12_SCPCC12,1987-07-01T00:00:00-03:00,916112.0
1987-08-01,1987,1,8,ACSP12_SCPCC12,1987-08-01T00:00:00-03:00,895961.0
1987-09-01,1987,1,9,ACSP12_SCPCC12,1987-09-01T00:00:00-03:00,809699.0
1987-10-01,1987,1,10,ACSP12_SCPCC12,1987-10-01T00:00:00-03:00,903338.0
1987-11-01,1987,1,11,ACSP12_SCPCC12,1987-11-01T00:00:00-03:00,862624.0
1987-12-01,1987,1,12,ACSP12_SCPCC12,1987-12-01T00:00:00-02:00,1143928.0
1988-01-01,1988,1,1,ACSP12_SCPCC12,1988-01-01T00:00:00-02:00,600202.0
1988-02-01,1988,1,2,ACSP12_SCPCC12,1988-02-01T00:00:00-02:00,649853.0
1988-03-01,1988,1,3,ACSP12_SCPCC12,1988-03-01T00:00:00-03:00,811493.0
1988-04-01,1988,1,4,ACSP12_SCPCC12,1988-04-01T00:00:00-03:00,788830.0
1988-05-01,1988,1,5,ACSP12_SCPCC12,1988-05-01T00:00:00-03:00,906932.0
1988-06-01,1988,1,6,ACSP12_SCPCC12,1988-06-01T00:00:00-03:00,983183.0
1988-07-01,1988,1,7,ACSP12_SCPCC12,1988-07-01T00:00:00-03:00,954050.0
1988-08-01,1988,1,8,ACSP12_SCPCC12,1988-08-01T00:00:00-03:00,902688.0
1988-09-01,1988,1,9,ACSP12_SCPCC12,1988-09-01T00:00:00-03:00,829472.0
1988-10-01,1988,1,10,ACSP12_SCPCC12,1988-10-01T00:00:00-03:00,860208.0
1988-11-01,1988,1,11,ACSP12_SCPCC12,1988-11-01T00:00:00-03:00,908038.0
1988-12-01,1988,1,12,ACSP12_SCPCC12,1988-12-01T00:00:00-02:00,1162235.0
1989-01-01,1989,1,1,ACSP12_SCPCC12,1989-01-01T00:00:00-02:00,590978.0
1989-02-01,1989,1,2,ACSP12_SCPCC12,1989-02-01T00:00:00-02:00,609152.0
1989-03-01,1989,1,3,ACSP12_SCPCC12,1989-03-01T00:00:00-03:00,747443.0
1989-04-01,1989,1,4,ACSP12_SCPCC12,1989-04-01T00:00:00-03:00,748069.0
1989-05-01,1989,1,5,ACSP12_SCPCC12,1989-05-01T00:00:00-03:00,935848.0
1989-06-01,1989,1,6,ACSP12_SCPCC12,1989-06-01T00:00:00-03:00,954691.0
1989-07-01,1989,1,7,ACSP12_SCPCC12,1989-07-01T00:00:00-03:00,873579.0
1989-08-01,1989,1,8,ACSP12_SCPCC12,1989-08-01T00:00:00-03:00,896828.0
1989-09-01,1989,1,9,ACSP12_SCPCC12,1989-09-01T00:00:00-03:00,840292.0
1989-10-01,1989,1,10,ACSP12_SCPCC12,1989-10-01T00:00:00-03:00,816699.0
1989-11-01,1989,1,11,ACSP12_SCPCC12,1989-11-01T00:00:00-03:00,797505.0
1989-12-01,1989,1,12,ACSP12_SCPCC12,1989-12-01T00:00:00-02:00,919866.0
1990-01-01,1990,1,1,ACSP12_SCPCC12,1990-01-01T00:00:00-02:00,539340.0
1990-02-01,1990,1,2,ACSP12_SCPCC12,1990-02-01T00:00:00-02:00,470536.0
1990-03-01,1990,1,3,ACSP12_SCPCC12,1990-03-01T00:00:00-03:00,577214.0
1990-04-01,1990,1,4,ACSP12_SCPCC12,1990-04-01T00:00:00-03:00,755277.0
1990-05-01,1990,1,5,ACSP12_SCPCC12,1990-05-01T00:00:00-03:00,781003.0
1990-06-01,1990,1,6,ACSP12_SCPCC12,1990-06-01T00:00:00-03:00,649102.0
1990-07-01,1990,1,7,ACSP12_SCPCC12,1990-07-01T00:00:00-03:00,729089.0
1990-08-01,1990,1,8,ACSP12_SCPCC12,1990-08-01T00:00:00-03:00,762764.0
1990-09-01,1990,1,9,ACSP12_SCPCC12,1990-09-01T00:00:00-03:00,673020.0
1990-10-01,1990,1,10,ACSP12_SCPCC12,1990-10-01T00:00:00-03:00,681771.0
1990-11-01,1990,1,11,ACSP12_SCPCC12,1990-11-01T00:00:00-03:00,647127.0
1990-12-01,1990,1,12,ACSP12_SCPCC12,1990-12-01T00:00:00-02:00,779353.0
1991-01-01,1991,1,1,ACSP12_SCPCC12,1991-01-01T00:00:00-02:00,445639.0
1991-02-01,1991,1,2,ACSP12_SCPCC12,1991-02-01T00:00:00-02:00,467982.0
1991-03-01,1991,1,3,ACSP12_SCPCC12,1991-03-01T00:00:00-03:00,574087.0
1991-04-01,1991,1,4,ACSP12_SCPCC12,1991-04-01T00:00:00-03:00,681853.0
1991-05-01,1991,1,5,ACSP12_SCPCC12,1991-05-01T00:00:00-03:00,800141.0
1991-06-01,1991,1,6,ACSP12_SCPCC12,1991-06-01T00:00:00-03:00,776954.0
1991-07-01,1991,1,7,ACSP12_SCPCC12,1991-07-01T00:00:00-03:00,843978.0
1991-08-01,1991,1,8,ACSP12_SCPCC12,1991-08-01T00:00:00-03:00,853901.0
1991-09-01,1991,1,9,ACSP12_SCPCC12,1991-09-01T00:00:00-03:00,701611.0
1991-10-01,1991,1,10,ACSP12_SCPCC12,1991-10-01T00:00:00-03:00,732268.0
1991-11-01,1991,1,11,ACSP12_SCPCC12,1991-11-01T00:00:00-03:00,589838.0
1991-12-01,1991,1,12,ACSP12_SCPCC12,1991-12-01T00:00:00-02:00,732977.0
1992-01-01,1992,1,1,ACSP12_SCPCC12,1992-01-01T00:00:00-02:00,463225.0
1992-02-01,1992,1,2,ACSP12_SCPCC12,1992-02-01T00:00:00-02:00,497175.0
1992-03-01,1992,1,3,ACSP12_SCPCC12,1992-03-01T00:00:00-03:00,500749.0
1992-04-01,1992,1,4,ACSP12_SCPCC12,1992-04-01T00:00:00-03:00,531409.0
1992-05-01,1992,1,5,ACSP12_SCPCC12,1992-05-01T00:00:00-03:00,615859.0
