DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Indice)
2017-06-01,2017,1,6,DIMAC_ICTI1,2017-06-01T00:00:00-03:00,132.228494842774
2017-07-01,2017,1,7,DIMAC_ICTI1,2017-07-01T00:00:00-03:00,132.762519468466
2017-08-01,2017,1,8,DIMAC_ICTI1,2017-08-01T00:00:00-03:00,133.450269094165
2017-09-01,2017,1,9,DIMAC_ICTI1,2017-09-01T00:00:00-03:00,134.098517923207
2017-10-01,2017,1,10,DIMAC_ICTI1,2017-10-01T00:00:00-03:00,134.783885516045
2017-11-01,2017,1,11,DIMAC_ICTI1,2017-11-01T00:00:00-02:00,135.530068721098
2017-12-01,2017,1,12,DIMAC_ICTI1,2017-12-01T00:00:00-02:00,136.426943174292
2018-01-01,2018,1,1,DIMAC_ICTI1,2018-01-01T00:00:00-02:00,136.841220177679
2018-02-01,2018,1,2,DIMAC_ICTI1,2018-02-01T00:00:00-02:00,136.721277797882
2018-03-01,2018,1,3,DIMAC_ICTI1,2018-03-01T00:00:00-03:00,136.893171672757
2018-04-01,2018,1,4,DIMAC_ICTI1,2018-04-01T00:00:00-03:00,137.116166752164
2018-05-01,2018,1,5,DIMAC_ICTI1,2018-05-01T00:00:00-03:00,137.690247841129
2018-06-01,2018,1,6,DIMAC_ICTI1,2018-06-01T00:00:00-03:00,138.616344358823
2018-07-01,2018,1,7,DIMAC_ICTI1,2018-07-01T00:00:00-03:00,138.67320212456
2018-08-01,2018,1,8,DIMAC_ICTI1,2018-08-01T00:00:00-03:00,138.90227355301
2018-09-01,2018,1,9,DIMAC_ICTI1,2018-09-01T00:00:00-03:00,139.241936680884
2018-10-01,2018,1,10,DIMAC_ICTI1,2018-10-01T00:00:00-03:00,139.947634041056
2018-11-01,2018,1,11,DIMAC_ICTI1,2018-11-01T00:00:00-03:00,139.935836348194
2018-12-01,2018,1,12,DIMAC_ICTI1,2018-12-01T00:00:00-02:00,139.942584459493
2019-01-01,2019,1,1,DIMAC_ICTI1,2019-01-01T00:00:00-02:00,140.893959827994
2019-02-01,2019,1,2,DIMAC_ICTI1,2019-02-01T00:00:00-02:00,141.828278733492
2019-03-01,2019,1,3,DIMAC_ICTI1,2019-03-01T00:00:00-03:00,142.86
2019-04-01,2019,1,4,DIMAC_ICTI1,2019-04-01T00:00:00-03:00,143.610660860209
2019-05-01,2019,1,5,DIMAC_ICTI1,2019-05-01T00:00:00-03:00,144.245312424305
2019-06-01,2019,1,6,DIMAC_ICTI1,2019-06-01T00:00:00-03:00,145.059022816168
2019-07-01,2019,1,7,DIMAC_ICTI1,2019-07-01T00:00:00-03:00,145.655107915938
2019-08-01,2019,1,8,DIMAC_ICTI1,2019-08-01T00:00:00-03:00,146.213392414763
2019-09-01,2019,1,9,DIMAC_ICTI1,2019-09-01T00:00:00-03:00,146.986574905287
2019-10-01,2019,1,10,DIMAC_ICTI1,2019-10-01T00:00:00-03:00,147.373202902528
2019-11-01,2019,1,11,DIMAC_ICTI1,2019-11-01T00:00:00-03:00,147.741868711056
2019-12-01,2019,1,12,DIMAC_ICTI1,2019-12-01T00:00:00-03:00,148.6745
2020-01-01,2020,1,1,DIMAC_ICTI1,2020-01-01T00:00:00-03:00,149.3306
2020-02-01,2020,1,2,DIMAC_ICTI1,2020-02-01T00:00:00-03:00,149.9091
2020-03-01,2020,1,3,DIMAC_ICTI1,2020-03-01T00:00:00-03:00,151.006
2020-04-01,2020,1,4,DIMAC_ICTI1,2020-04-01T00:00:00-03:00,151.9477
2020-05-01,2020,1,5,DIMAC_ICTI1,2020-05-01T00:00:00-03:00,152.338572554644
2020-06-01,2020,1,6,DIMAC_ICTI1,2020-06-01T00:00:00-03:00,152.835956158535
2020-07-01,2020,1,7,DIMAC_ICTI1,2020-07-01T00:00:00-03:00,154.3033843181
2020-08-01,2020,1,8,DIMAC_ICTI1,2020-08-01T00:00:00-03:00,155.268916513767
2020-09-01,2020,1,9,DIMAC_ICTI1,2020-09-01T00:00:00-03:00,157.169643503853
2020-10-01,2020,1,10,DIMAC_ICTI1,2020-10-01T00:00:00-03:00,158.205566694977
2020-11-01,2020,1,11,DIMAC_ICTI1,2020-11-01T00:00:00-03:00,159.268764327815
