DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((Unidade))
1990-01-01,1990,1,1,FENABRAVE12_VENDVETOT12,1990-01-01T00:00:00-02:00,69792.0
1990-02-01,1990,1,2,FENABRAVE12_VENDVETOT12,1990-02-01T00:00:00-02:00,57258.0
1990-03-01,1990,1,3,FENABRAVE12_VENDVETOT12,1990-03-01T00:00:00-03:00,32740.0
1990-04-01,1990,1,4,FENABRAVE12_VENDVETOT12,1990-04-01T00:00:00-03:00,32812.0
1990-05-01,1990,1,5,FENABRAVE12_VENDVETOT12,1990-05-01T00:00:00-03:00,58464.0
1990-06-01,1990,1,6,FENABRAVE12_VENDVETOT12,1990-06-01T00:00:00-03:00,37632.0
1990-07-01,1990,1,7,FENABRAVE12_VENDVETOT12,1990-07-01T00:00:00-03:00,43697.0
1990-08-01,1990,1,8,FENABRAVE12_VENDVETOT12,1990-08-01T00:00:00-03:00,84707.0
1990-09-01,1990,1,9,FENABRAVE12_VENDVETOT12,1990-09-01T00:00:00-03:00,75195.0
1990-10-01,1990,1,10,FENABRAVE12_VENDVETOT12,1990-10-01T00:00:00-03:00,80938.0
1990-11-01,1990,1,11,FENABRAVE12_VENDVETOT12,1990-11-01T00:00:00-03:00,73082.0
1990-12-01,1990,1,12,FENABRAVE12_VENDVETOT12,1990-12-01T00:00:00-02:00,66391.0
1991-01-01,1991,1,1,FENABRAVE12_VENDVETOT12,1991-01-01T00:00:00-02:00,60486.0
1991-02-01,1991,1,2,FENABRAVE12_VENDVETOT12,1991-02-01T00:00:00-02:00,58540.0
1991-03-01,1991,1,3,FENABRAVE12_VENDVETOT12,1991-03-01T00:00:00-03:00,66155.0
1991-04-01,1991,1,4,FENABRAVE12_VENDVETOT12,1991-04-01T00:00:00-03:00,39851.0
1991-05-01,1991,1,5,FENABRAVE12_VENDVETOT12,1991-05-01T00:00:00-03:00,55941.0
1991-06-01,1991,1,6,FENABRAVE12_VENDVETOT12,1991-06-01T00:00:00-03:00,68826.0
1991-07-01,1991,1,7,FENABRAVE12_VENDVETOT12,1991-07-01T00:00:00-03:00,85112.0
1991-08-01,1991,1,8,FENABRAVE12_VENDVETOT12,1991-08-01T00:00:00-03:00,78648.0
1991-09-01,1991,1,9,FENABRAVE12_VENDVETOT12,1991-09-01T00:00:00-03:00,73080.0
1991-10-01,1991,1,10,FENABRAVE12_VENDVETOT12,1991-10-01T00:00:00-03:00,80372.0
1991-11-01,1991,1,11,FENABRAVE12_VENDVETOT12,1991-11-01T00:00:00-03:00,69039.0
1991-12-01,1991,1,12,FENABRAVE12_VENDVETOT12,1991-12-01T00:00:00-02:00,55458.0
1992-01-01,1992,1,1,FENABRAVE12_VENDVETOT12,1992-01-01T00:00:00-02:00,55747.0
1992-02-01,1992,1,2,FENABRAVE12_VENDVETOT12,1992-02-01T00:00:00-02:00,45472.0
1992-03-01,1992,1,3,FENABRAVE12_VENDVETOT12,1992-03-01T00:00:00-03:00,39612.0
1992-04-01,1992,1,4,FENABRAVE12_VENDVETOT12,1992-04-01T00:00:00-03:00,76270.0
1992-05-01,1992,1,5,FENABRAVE12_VENDVETOT12,1992-05-01T00:00:00-03:00,62091.0
1992-06-01,1992,1,6,FENABRAVE12_VENDVETOT12,1992-06-01T00:00:00-03:00,67800.0
1992-07-01,1992,1,7,FENABRAVE12_VENDVETOT12,1992-07-01T00:00:00-03:00,71403.0
1992-08-01,1992,1,8,FENABRAVE12_VENDVETOT12,1992-08-01T00:00:00-03:00,67980.0
1992-09-01,1992,1,9,FENABRAVE12_VENDVETOT12,1992-09-01T00:00:00-03:00,69585.0
1992-10-01,1992,1,10,FENABRAVE12_VENDVETOT12,1992-10-01T00:00:00-03:00,72163.0
1992-11-01,1992,1,11,FENABRAVE12_VENDVETOT12,1992-11-01T00:00:00-03:00,75357.0
1992-12-01,1992,1,12,FENABRAVE12_VENDVETOT12,1992-12-01T00:00:00-02:00,67997.0
1993-01-01,1993,1,1,FENABRAVE12_VENDVETOT12,1993-01-01T00:00:00-02:00,61071.0
1993-02-01,1993,1,2,FENABRAVE12_VENDVETOT12,1993-02-01T00:00:00-02:00,66606.0
1993-03-01,1993,1,3,FENABRAVE12_VENDVETOT12,1993-03-01T00:00:00-03:00,90636.0
1993-04-01,1993,1,4,FENABRAVE12_VENDVETOT12,1993-04-01T00:00:00-03:00,82832.0
1993-05-01,1993,1,5,FENABRAVE12_VENDVETOT12,1993-05-01T00:00:00-03:00,90675.0
1993-06-01,1993,1,6,FENABRAVE12_VENDVETOT12,1993-06-01T00:00:00-03:00,92286.0
1993-07-01,1993,1,7,FENABRAVE12_VENDVETOT12,1993-07-01T00:00:00-03:00,94397.0
1993-08-01,1993,1,8,FENABRAVE12_VENDVETOT12,1993-08-01T00:00:00-03:00,109283.0
1993-09-01,1993,1,9,FENABRAVE12_VENDVETOT12,1993-09-01T00:00:00-03:00,101182.0
1993-10-01,1993,1,10,FENABRAVE12_VENDVETOT12,1993-10-01T00:00:00-03:00,97551.0
1993-11-01,1993,1,11,FENABRAVE12_VENDVETOT12,1993-11-01T00:00:00-03:00,105926.0
1993-12-01,1993,1,12,FENABRAVE12_VENDVETOT12,1993-12-01T00:00:00-02:00,105746.0
1994-01-01,1994,1,1,FENABRAVE12_VENDVETOT12,1994-01-01T00:00:00-02:00,93915.0
1994-02-01,1994,1,2,FENABRAVE12_VENDVETOT12,1994-02-01T00:00:00-02:00,91542.0
1994-03-01,1994,1,3,FENABRAVE12_VENDVETOT12,1994-03-01T00:00:00-03:00,114805.0
1994-04-01,1994,1,4,FENABRAVE12_VENDVETOT12,1994-04-01T00:00:00-03:00,96698.0
1994-05-01,1994,1,5,FENABRAVE12_VENDVETOT12,1994-05-01T00:00:00-03:00,118772.0
1994-06-01,1994,1,6,FENABRAVE12_VENDVETOT12,1994-06-01T00:00:00-03:00,120281.0
1994-07-01,1994,1,7,FENABRAVE12_VENDVETOT12,1994-07-01T00:00:00-03:00,109044.0
1994-08-01,1994,1,8,FENABRAVE12_VENDVETOT12,1994-08-01T00:00:00-03:00,159083.0
1994-09-01,1994,1,9,FENABRAVE12_VENDVETOT12,1994-09-01T00:00:00-03:00,114803.0
1994-10-01,1994,1,10,FENABRAVE12_VENDVETOT12,1994-10-01T00:00:00-03:00,127987.0
1994-11-01,1994,1,11,FENABRAVE12_VENDVETOT12,1994-11-01T00:00:00-03:00,139273.0
1994-12-01,1994,1,12,FENABRAVE12_VENDVETOT12,1994-12-01T00:00:00-02:00,140448.0
1995-01-01,1995,1,1,FENABRAVE12_VENDVETOT12,1995-01-01T00:00:00-02:00,110921.0
1995-02-01,1995,1,2,FENABRAVE12_VENDVETOT12,1995-02-01T00:00:00-02:00,132244.0
1995-03-01,1995,1,3,FENABRAVE12_VENDVETOT12,1995-03-01T00:00:00-03:00,178474.0
1995-04-01,1995,1,4,FENABRAVE12_VENDVETOT12,1995-04-01T00:00:00-03:00,135202.0
1995-05-01,1995,1,5,FENABRAVE12_VENDVETOT12,1995-05-01T00:00:00-03:00,135837.0
1995-06-01,1995,1,6,FENABRAVE12_VENDVETOT12,1995-06-01T00:00:00-03:00,137598.0
1995-07-01,1995,1,7,FENABRAVE12_VENDVETOT12,1995-07-01T00:00:00-03:00,133326.0
1995-08-01,1995,1,8,FENABRAVE12_VENDVETOT12,1995-08-01T00:00:00-03:00,155183.0
1995-09-01,1995,1,9,FENABRAVE12_VENDVETOT12,1995-09-01T00:00:00-03:00,137920.0
