DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$ Penúltimo mês da série)
2012-03-01,2012,1,3,PNADC12_RRPHESPUB12,2012-03-01T00:00:00-03:00,3490.0
2012-04-01,2012,1,4,PNADC12_RRPHESPUB12,2012-04-01T00:00:00-03:00,3478.0
2012-05-01,2012,1,5,PNADC12_RRPHESPUB12,2012-05-01T00:00:00-03:00,3473.0
2012-06-01,2012,1,6,PNADC12_RRPHESPUB12,2012-06-01T00:00:00-03:00,3497.0
2012-07-01,2012,1,7,PNADC12_RRPHESPUB12,2012-07-01T00:00:00-03:00,3477.0
2012-08-01,2012,1,8,PNADC12_RRPHESPUB12,2012-08-01T00:00:00-03:00,3462.0
2012-09-01,2012,1,9,PNADC12_RRPHESPUB12,2012-09-01T00:00:00-03:00,3463.0
2012-10-01,2012,1,10,PNADC12_RRPHESPUB12,2012-10-01T00:00:00-03:00,3451.0
2012-11-01,2012,1,11,PNADC12_RRPHESPUB12,2012-11-01T00:00:00-02:00,3470.0
2012-12-01,2012,1,12,PNADC12_RRPHESPUB12,2012-12-01T00:00:00-02:00,3497.0
2013-01-01,2013,1,1,PNADC12_RRPHESPUB12,2013-01-01T00:00:00-02:00,3553.0
2013-02-01,2013,1,2,PNADC12_RRPHESPUB12,2013-02-01T00:00:00-02:00,3558.0
2013-03-01,2013,1,3,PNADC12_RRPHESPUB12,2013-03-01T00:00:00-03:00,3578.0
2013-04-01,2013,1,4,PNADC12_RRPHESPUB12,2013-04-01T00:00:00-03:00,3575.0
2013-05-01,2013,1,5,PNADC12_RRPHESPUB12,2013-05-01T00:00:00-03:00,3577.0
2013-06-01,2013,1,6,PNADC12_RRPHESPUB12,2013-06-01T00:00:00-03:00,3564.0
2013-07-01,2013,1,7,PNADC12_RRPHESPUB12,2013-07-01T00:00:00-03:00,3563.0
2013-08-01,2013,1,8,PNADC12_RRPHESPUB12,2013-08-01T00:00:00-03:00,3577.0
2013-09-01,2013,1,9,PNADC12_RRPHESPUB12,2013-09-01T00:00:00-03:00,3560.0
2013-10-01,2013,1,10,PNADC12_RRPHESPUB12,2013-10-01T00:00:00-03:00,3566.0
2013-11-01,2013,1,11,PNADC12_RRPHESPUB12,2013-11-01T00:00:00-02:00,3581.0
2013-12-01,2013,1,12,PNADC12_RRPHESPUB12,2013-12-01T00:00:00-02:00,3595.0
2014-01-01,2014,1,1,PNADC12_RRPHESPUB12,2014-01-01T00:00:00-02:00,3633.0
2014-02-01,2014,1,2,PNADC12_RRPHESPUB12,2014-02-01T00:00:00-02:00,3637.0
2014-03-01,2014,1,3,PNADC12_RRPHESPUB12,2014-03-01T00:00:00-03:00,3670.0
2014-04-01,2014,1,4,PNADC12_RRPHESPUB12,2014-04-01T00:00:00-03:00,3654.0
2014-05-01,2014,1,5,PNADC12_RRPHESPUB12,2014-05-01T00:00:00-03:00,3672.0
2014-06-01,2014,1,6,PNADC12_RRPHESPUB12,2014-06-01T00:00:00-03:00,3656.0
2014-07-01,2014,1,7,PNADC12_RRPHESPUB12,2014-07-01T00:00:00-03:00,3670.0
2014-08-01,2014,1,8,PNADC12_RRPHESPUB12,2014-08-01T00:00:00-03:00,3653.0
2014-09-01,2014,1,9,PNADC12_RRPHESPUB12,2014-09-01T00:00:00-03:00,3654.0
2014-10-01,2014,1,10,PNADC12_RRPHESPUB12,2014-10-01T00:00:00-03:00,3661.0
2014-11-01,2014,1,11,PNADC12_RRPHESPUB12,2014-11-01T00:00:00-02:00,3666.0
2014-12-01,2014,1,12,PNADC12_RRPHESPUB12,2014-12-01T00:00:00-02:00,3684.0
2015-01-01,2015,1,1,PNADC12_RRPHESPUB12,2015-01-01T00:00:00-02:00,3719.0
2015-02-01,2015,1,2,PNADC12_RRPHESPUB12,2015-02-01T00:00:00-02:00,3702.0
2015-03-01,2015,1,3,PNADC12_RRPHESPUB12,2015-03-01T00:00:00-03:00,3643.0
