DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((p.p.))
2011-03-01,2011,1,3,BM12_CRLSDPF12,2011-03-01T00:00:00-03:00,35.19
2011-04-01,2011,1,4,BM12_CRLSDPF12,2011-04-01T00:00:00-03:00,36.2
2011-05-01,2011,1,5,BM12_CRLSDPF12,2011-05-01T00:00:00-03:00,36.09
2011-06-01,2011,1,6,BM12_CRLSDPF12,2011-06-01T00:00:00-03:00,35.97
2011-07-01,2011,1,7,BM12_CRLSDPF12,2011-07-01T00:00:00-03:00,36.11
2011-08-01,2011,1,8,BM12_CRLSDPF12,2011-08-01T00:00:00-03:00,35.99
2011-09-01,2011,1,9,BM12_CRLSDPF12,2011-09-01T00:00:00-03:00,37.1
2011-10-01,2011,1,10,BM12_CRLSDPF12,2011-10-01T00:00:00-03:00,38.47
2011-11-01,2011,1,11,BM12_CRLSDPF12,2011-11-01T00:00:00-02:00,37.5
2011-12-01,2011,1,12,BM12_CRLSDPF12,2011-12-01T00:00:00-02:00,35.15
2012-01-01,2012,1,1,BM12_CRLSDPF12,2012-01-01T00:00:00-02:00,36.85
2012-02-01,2012,1,2,BM12_CRLSDPF12,2012-02-01T00:00:00-02:00,38.01
2012-03-01,2012,1,3,BM12_CRLSDPF12,2012-03-01T00:00:00-03:00,38.05
2012-04-01,2012,1,4,BM12_CRLSDPF12,2012-04-01T00:00:00-03:00,37.76
2012-05-01,2012,1,5,BM12_CRLSDPF12,2012-05-01T00:00:00-03:00,35.52
2012-06-01,2012,1,6,BM12_CRLSDPF12,2012-06-01T00:00:00-03:00,34.87
2012-07-01,2012,1,7,BM12_CRLSDPF12,2012-07-01T00:00:00-03:00,34.14
2012-08-01,2012,1,8,BM12_CRLSDPF12,2012-08-01T00:00:00-03:00,33.18
2012-09-01,2012,1,9,BM12_CRLSDPF12,2012-09-01T00:00:00-03:00,33.28
2012-10-01,2012,1,10,BM12_CRLSDPF12,2012-10-01T00:00:00-03:00,32.78
2012-11-01,2012,1,11,BM12_CRLSDPF12,2012-11-01T00:00:00-02:00,32.24
2012-12-01,2012,1,12,BM12_CRLSDPF12,2012-12-01T00:00:00-02:00,30.88
2013-01-01,2013,1,1,BM12_CRLSDPF12,2013-01-01T00:00:00-02:00,31.07
2013-02-01,2013,1,2,BM12_CRLSDPF12,2013-02-01T00:00:00-02:00,31.87
2013-03-01,2013,1,3,BM12_CRLSDPF12,2013-03-01T00:00:00-03:00,31.11
2013-04-01,2013,1,4,BM12_CRLSDPF12,2013-04-01T00:00:00-03:00,30.98
2013-05-01,2013,1,5,BM12_CRLSDPF12,2013-05-01T00:00:00-03:00,30.64
2013-06-01,2013,1,6,BM12_CRLSDPF12,2013-06-01T00:00:00-03:00,30.02
2013-07-01,2013,1,7,BM12_CRLSDPF12,2013-07-01T00:00:00-03:00,30.83
2013-08-01,2013,1,8,BM12_CRLSDPF12,2013-08-01T00:00:00-03:00,30.68
2013-09-01,2013,1,9,BM12_CRLSDPF12,2013-09-01T00:00:00-03:00,30.9
2013-10-01,2013,1,10,BM12_CRLSDPF12,2013-10-01T00:00:00-03:00,31.89
2013-11-01,2013,1,11,BM12_CRLSDPF12,2013-11-01T00:00:00-02:00,31.66
2013-12-01,2013,1,12,BM12_CRLSDPF12,2013-12-01T00:00:00-02:00,30.78
2014-01-01,2014,1,1,BM12_CRLSDPF12,2014-01-01T00:00:00-02:00,32.11
2014-02-01,2014,1,2,BM12_CRLSDPF12,2014-02-01T00:00:00-02:00,34.37
2014-03-01,2014,1,3,BM12_CRLSDPF12,2014-03-01T00:00:00-03:00,34.61
2014-04-01,2014,1,4,BM12_CRLSDPF12,2014-04-01T00:00:00-03:00,34.66
2014-05-01,2014,1,5,BM12_CRLSDPF12,2014-05-01T00:00:00-03:00,35.37
2014-06-01,2014,1,6,BM12_CRLSDPF12,2014-06-01T00:00:00-03:00,36.43
2014-07-01,2014,1,7,BM12_CRLSDPF12,2014-07-01T00:00:00-03:00,36.67
2014-08-01,2014,1,8,BM12_CRLSDPF12,2014-08-01T00:00:00-03:00,37.01
2014-09-01,2014,1,9,BM12_CRLSDPF12,2014-09-01T00:00:00-03:00,36.02
2014-10-01,2014,1,10,BM12_CRLSDPF12,2014-10-01T00:00:00-03:00,37.44
2014-11-01,2014,1,11,BM12_CRLSDPF12,2014-11-01T00:00:00-02:00,37.75
2014-12-01,2014,1,12,BM12_CRLSDPF12,2014-12-01T00:00:00-02:00,36.45
2015-01-01,2015,1,1,BM12_CRLSDPF12,2015-01-01T00:00:00-02:00,38.99
2015-02-01,2015,1,2,BM12_CRLSDPF12,2015-02-01T00:00:00-02:00,40.56
2015-03-01,2015,1,3,BM12_CRLSDPF12,2015-03-01T00:00:00-03:00,40.12
2015-04-01,2015,1,4,BM12_CRLSDPF12,2015-04-01T00:00:00-03:00,41.96
2015-05-01,2015,1,5,BM12_CRLSDPF12,2015-05-01T00:00:00-03:00,43.34
2015-06-01,2015,1,6,BM12_CRLSDPF12,2015-06-01T00:00:00-03:00,44.41
2015-07-01,2015,1,7,BM12_CRLSDPF12,2015-07-01T00:00:00-03:00,45.65
2015-08-01,2015,1,8,BM12_CRLSDPF12,2015-08-01T00:00:00-03:00,46.31
2015-09-01,2015,1,9,BM12_CRLSDPF12,2015-09-01T00:00:00-03:00,46.16
2015-10-01,2015,1,10,BM12_CRLSDPF12,2015-10-01T00:00:00-03:00,48.0
2015-11-01,2015,1,11,BM12_CRLSDPF12,2015-11-01T00:00:00-02:00,48.73
2015-12-01,2015,1,12,BM12_CRLSDPF12,2015-12-01T00:00:00-02:00,47.04
2016-01-01,2016,1,1,BM12_CRLSDPF12,2016-01-01T00:00:00-02:00,50.02
2016-02-01,2016,1,2,BM12_CRLSDPF12,2016-02-01T00:00:00-02:00,52.1
2016-03-01,2016,1,3,BM12_CRLSDPF12,2016-03-01T00:00:00-03:00,54.39
2016-04-01,2016,1,4,BM12_CRLSDPF12,2016-04-01T00:00:00-03:00,56.98
2016-05-01,2016,1,5,BM12_CRLSDPF12,2016-05-01T00:00:00-03:00,57.69
2016-06-01,2016,1,6,BM12_CRLSDPF12,2016-06-01T00:00:00-03:00,57.25
2016-07-01,2016,1,7,BM12_CRLSDPF12,2016-07-01T00:00:00-03:00,58.05
2016-08-01,2016,1,8,BM12_CRLSDPF12,2016-08-01T00:00:00-03:00,58.51
2016-09-01,2016,1,9,BM12_CRLSDPF12,2016-09-01T00:00:00-03:00,60.09
2016-10-01,2016,1,10,BM12_CRLSDPF12,2016-10-01T00:00:00-03:00,60.82
2016-11-01,2016,1,11,BM12_CRLSDPF12,2016-11-01T00:00:00-02:00,60.58
2016-12-01,2016,1,12,BM12_CRLSDPF12,2016-12-01T00:00:00-02:00,58.76
2017-01-01,2017,1,1,BM12_CRLSDPF12,2017-01-01T00:00:00-02:00,60.32
2017-02-01,2017,1,2,BM12_CRLSDPF12,2017-02-01T00:00:00-02:00,61.09
2017-03-01,2017,1,3,BM12_CRLSDPF12,2017-03-01T00:00:00-03:00,60.69
2017-04-01,2017,1,4,BM12_CRLSDPF12,2017-04-01T00:00:00-03:00,56.02
2017-05-01,2017,1,5,BM12_CRLSDPF12,2017-05-01T00:00:00-03:00,52.84
2017-06-01,2017,1,6,BM12_CRLSDPF12,2017-06-01T00:00:00-03:00,51.72
2017-07-01,2017,1,7,BM12_CRLSDPF12,2017-07-01T00:00:00-03:00,52.45
2017-08-01,2017,1,8,BM12_CRLSDPF12,2017-08-01T00:00:00-03:00,51.37
2017-09-01,2017,1,9,BM12_CRLSDPF12,2017-09-01T00:00:00-03:00,48.69
2017-10-01,2017,1,10,BM12_CRLSDPF12,2017-10-01T00:00:00-03:00,49.04
2017-11-01,2017,1,11,BM12_CRLSDPF12,2017-11-01T00:00:00-02:00,47.54
2017-12-01,2017,1,12,BM12_CRLSDPF12,2017-12-01T00:00:00-02:00,44.67
2018-01-01,2018,1,1,BM12_CRLSDPF12,2018-01-01T00:00:00-02:00,45.91
2018-02-01,2018,1,2,BM12_CRLSDPF12,2018-02-01T00:00:00-02:00,47.77
2018-03-01,2018,1,3,BM12_CRLSDPF12,2018-03-01T00:00:00-03:00,47.78
2018-04-01,2018,1,4,BM12_CRLSDPF12,2018-04-01T00:00:00-03:00,47.19
2018-05-01,2018,1,5,BM12_CRLSDPF12,2018-05-01T00:00:00-03:00,43.9
2018-06-01,2018,1,6,BM12_CRLSDPF12,2018-06-01T00:00:00-03:00,42.3
2018-07-01,2018,1,7,BM12_CRLSDPF12,2018-07-01T00:00:00-03:00,41.67
2018-08-01,2018,1,8,BM12_CRLSDPF12,2018-08-01T00:00:00-03:00,40.98
2018-09-01,2018,1,9,BM12_CRLSDPF12,2018-09-01T00:00:00-03:00,40.89
2018-10-01,2018,1,10,BM12_CRLSDPF12,2018-10-01T00:00:00-03:00,41.98
2018-11-01,2018,1,11,BM12_CRLSDPF12,2018-11-01T00:00:00-03:00,42.05
2018-12-01,2018,1,12,BM12_CRLSDPF12,2018-12-01T00:00:00-02:00,39.58
2019-01-01,2019,1,1,BM12_CRLSDPF12,2019-01-01T00:00:00-02:00,42.39
2019-02-01,2019,1,2,BM12_CRLSDPF12,2019-02-01T00:00:00-02:00,44.13
2019-03-01,2019,1,3,BM12_CRLSDPF12,2019-03-01T00:00:00-03:00,44.84
2019-04-01,2019,1,4,BM12_CRLSDPF12,2019-04-01T00:00:00-03:00,44.66
2019-05-01,2019,1,5,BM12_CRLSDPF12,2019-05-01T00:00:00-03:00,44.11
2019-06-01,2019,1,6,BM12_CRLSDPF12,2019-06-01T00:00:00-03:00,45.04
2019-07-01,2019,1,7,BM12_CRLSDPF12,2019-07-01T00:00:00-03:00,44.58
2019-08-01,2019,1,8,BM12_CRLSDPF12,2019-08-01T00:00:00-03:00,44.41
