DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (GWh)
1976-01-01,1976,1,1,ELETRO12_CEERES12,1976-01-01T00:00:00-02:00,1259.8
1976-02-01,1976,1,2,ELETRO12_CEERES12,1976-02-01T00:00:00-02:00,1161.6
1976-03-01,1976,1,3,ELETRO12_CEERES12,1976-03-01T00:00:00-03:00,1191.6
1976-04-01,1976,1,4,ELETRO12_CEERES12,1976-04-01T00:00:00-03:00,1180.4
1976-05-01,1976,1,5,ELETRO12_CEERES12,1976-05-01T00:00:00-03:00,1205.2
1976-06-01,1976,1,6,ELETRO12_CEERES12,1976-06-01T00:00:00-03:00,1180.9
1976-07-01,1976,1,7,ELETRO12_CEERES12,1976-07-01T00:00:00-03:00,1227.0
1976-08-01,1976,1,8,ELETRO12_CEERES12,1976-08-01T00:00:00-03:00,1188.1
1976-09-01,1976,1,9,ELETRO12_CEERES12,1976-09-01T00:00:00-03:00,1266.3
1976-10-01,1976,1,10,ELETRO12_CEERES12,1976-10-01T00:00:00-03:00,1269.9
1976-11-01,1976,1,11,ELETRO12_CEERES12,1976-11-01T00:00:00-03:00,1294.6
1976-12-01,1976,1,12,ELETRO12_CEERES12,1976-12-01T00:00:00-02:00,1332.5
1977-01-01,1977,1,1,ELETRO12_CEERES12,1977-01-01T00:00:00-02:00,1378.7
1977-02-01,1977,1,2,ELETRO12_CEERES12,1977-02-01T00:00:00-02:00,1369.3
1977-03-01,1977,1,3,ELETRO12_CEERES12,1977-03-01T00:00:00-03:00,1387.2
1977-04-01,1977,1,4,ELETRO12_CEERES12,1977-04-01T00:00:00-03:00,1397.6
1977-05-01,1977,1,5,ELETRO12_CEERES12,1977-05-01T00:00:00-03:00,1414.1
1977-06-01,1977,1,6,ELETRO12_CEERES12,1977-06-01T00:00:00-03:00,1356.6
1977-07-01,1977,1,7,ELETRO12_CEERES12,1977-07-01T00:00:00-03:00,1379.5
1977-08-01,1977,1,8,ELETRO12_CEERES12,1977-08-01T00:00:00-03:00,1374.3
1977-09-01,1977,1,9,ELETRO12_CEERES12,1977-09-01T00:00:00-03:00,1468.1
1977-10-01,1977,1,10,ELETRO12_CEERES12,1977-10-01T00:00:00-03:00,1471.4
1977-11-01,1977,1,11,ELETRO12_CEERES12,1977-11-01T00:00:00-03:00,1499.9
1977-12-01,1977,1,12,ELETRO12_CEERES12,1977-12-01T00:00:00-02:00,1526.1
1978-01-01,1978,1,1,ELETRO12_CEERES12,1978-01-01T00:00:00-02:00,1503.3
1978-02-01,1978,1,2,ELETRO12_CEERES12,1978-02-01T00:00:00-02:00,1582.2
1978-03-01,1978,1,3,ELETRO12_CEERES12,1978-03-01T00:00:00-03:00,1541.7
1978-04-01,1978,1,4,ELETRO12_CEERES12,1978-04-01T00:00:00-03:00,1523.2
1978-05-01,1978,1,5,ELETRO12_CEERES12,1978-05-01T00:00:00-03:00,1549.9
1978-06-01,1978,1,6,ELETRO12_CEERES12,1978-06-01T00:00:00-03:00,1536.0
1978-07-01,1978,1,7,ELETRO12_CEERES12,1978-07-01T00:00:00-03:00,1507.9
1978-08-01,1978,1,8,ELETRO12_CEERES12,1978-08-01T00:00:00-03:00,1577.4
1978-09-01,1978,1,9,ELETRO12_CEERES12,1978-09-01T00:00:00-03:00,1627.6
1978-10-01,1978,1,10,ELETRO12_CEERES12,1978-10-01T00:00:00-03:00,1584.0
1978-11-01,1978,1,11,ELETRO12_CEERES12,1978-11-01T00:00:00-03:00,1656.5
1978-12-01,1978,1,12,ELETRO12_CEERES12,1978-12-01T00:00:00-02:00,1629.8
1979-01-01,1979,1,1,ELETRO12_CEERES12,1979-01-01T00:00:00-02:00,1712.0
1979-02-01,1979,1,2,ELETRO12_CEERES12,1979-02-01T00:00:00-02:00,1647.0
1979-03-01,1979,1,3,ELETRO12_CEERES12,1979-03-01T00:00:00-03:00,1736.0
1979-04-01,1979,1,4,ELETRO12_CEERES12,1979-04-01T00:00:00-03:00,1681.0
1979-05-01,1979,1,5,ELETRO12_CEERES12,1979-05-01T00:00:00-03:00,1757.0
1979-06-01,1979,1,6,ELETRO12_CEERES12,1979-06-01T00:00:00-03:00,1689.0
1979-07-01,1979,1,7,ELETRO12_CEERES12,1979-07-01T00:00:00-03:00,1730.0
1979-08-01,1979,1,8,ELETRO12_CEERES12,1979-08-01T00:00:00-03:00,1697.0
1979-09-01,1979,1,9,ELETRO12_CEERES12,1979-09-01T00:00:00-03:00,1809.0
1979-10-01,1979,1,10,ELETRO12_CEERES12,1979-10-01T00:00:00-03:00,1789.0
1979-11-01,1979,1,11,ELETRO12_CEERES12,1979-11-01T00:00:00-03:00,1840.0
1979-12-01,1979,1,12,ELETRO12_CEERES12,1979-12-01T00:00:00-02:00,1867.0
1980-01-01,1980,1,1,ELETRO12_CEERES12,1980-01-01T00:00:00-02:00,1930.0
1980-02-01,1980,1,2,ELETRO12_CEERES12,1980-02-01T00:00:00-02:00,1865.0
1980-03-01,1980,1,3,ELETRO12_CEERES12,1980-03-01T00:00:00-03:00,1885.0
1980-04-01,1980,1,4,ELETRO12_CEERES12,1980-04-01T00:00:00-03:00,1914.0
1980-05-01,1980,1,5,ELETRO12_CEERES12,1980-05-01T00:00:00-03:00,1932.0
1980-06-01,1980,1,6,ELETRO12_CEERES12,1980-06-01T00:00:00-03:00,1894.0
1980-07-01,1980,1,7,ELETRO12_CEERES12,1980-07-01T00:00:00-03:00,1891.0
1980-08-01,1980,1,8,ELETRO12_CEERES12,1980-08-01T00:00:00-03:00,1965.0
1980-09-01,1980,1,9,ELETRO12_CEERES12,1980-09-01T00:00:00-03:00,1946.0
1980-10-01,1980,1,10,ELETRO12_CEERES12,1980-10-01T00:00:00-03:00,1939.0
1980-11-01,1980,1,11,ELETRO12_CEERES12,1980-11-01T00:00:00-03:00,2061.0
1980-12-01,1980,1,12,ELETRO12_CEERES12,1980-12-01T00:00:00-02:00,1962.0
1981-01-01,1981,1,1,ELETRO12_CEERES12,1981-01-01T00:00:00-02:00,2296.0
1981-02-01,1981,1,2,ELETRO12_CEERES12,1981-02-01T00:00:00-02:00,2029.0
1981-03-01,1981,1,3,ELETRO12_CEERES12,1981-03-01T00:00:00-03:00,2080.0
1981-04-01,1981,1,4,ELETRO12_CEERES12,1981-04-01T00:00:00-03:00,1974.0
1981-05-01,1981,1,5,ELETRO12_CEERES12,1981-05-01T00:00:00-03:00,2083.0
1981-06-01,1981,1,6,ELETRO12_CEERES12,1981-06-01T00:00:00-03:00,1949.0
1981-07-01,1981,1,7,ELETRO12_CEERES12,1981-07-01T00:00:00-03:00,2007.0
1981-08-01,1981,1,8,ELETRO12_CEERES12,1981-08-01T00:00:00-03:00,2090.0
1981-09-01,1981,1,9,ELETRO12_CEERES12,1981-09-01T00:00:00-03:00,2081.0
1981-10-01,1981,1,10,ELETRO12_CEERES12,1981-10-01T00:00:00-03:00,2117.0
1981-11-01,1981,1,11,ELETRO12_CEERES12,1981-11-01T00:00:00-03:00,2149.0
1981-12-01,1981,1,12,ELETRO12_CEERES12,1981-12-01T00:00:00-02:00,2105.0
1982-01-01,1982,1,1,ELETRO12_CEERES12,1982-01-01T00:00:00-02:00,2326.0
1982-02-01,1982,1,2,ELETRO12_CEERES12,1982-02-01T00:00:00-02:00,2050.0
1982-03-01,1982,1,3,ELETRO12_CEERES12,1982-03-01T00:00:00-03:00,2140.0
1982-04-01,1982,1,4,ELETRO12_CEERES12,1982-04-01T00:00:00-03:00,2342.0
1982-05-01,1982,1,5,ELETRO12_CEERES12,1982-05-01T00:00:00-03:00,2163.0
1982-06-01,1982,1,6,ELETRO12_CEERES12,1982-06-01T00:00:00-03:00,2207.0
1982-07-01,1982,1,7,ELETRO12_CEERES12,1982-07-01T00:00:00-03:00,2239.0
1982-08-01,1982,1,8,ELETRO12_CEERES12,1982-08-01T00:00:00-03:00,2236.0
1982-09-01,1982,1,9,ELETRO12_CEERES12,1982-09-01T00:00:00-03:00,2343.0
1982-10-01,1982,1,10,ELETRO12_CEERES12,1982-10-01T00:00:00-03:00,2290.0
1982-11-01,1982,1,11,ELETRO12_CEERES12,1982-11-01T00:00:00-03:00,2380.0
1982-12-01,1982,1,12,ELETRO12_CEERES12,1982-12-01T00:00:00-02:00,2350.0
1983-01-01,1983,1,1,ELETRO12_CEERES12,1983-01-01T00:00:00-02:00,2538.0
1983-02-01,1983,1,2,ELETRO12_CEERES12,1983-02-01T00:00:00-02:00,2416.0
1983-03-01,1983,1,3,ELETRO12_CEERES12,1983-03-01T00:00:00-03:00,2397.0
1983-04-01,1983,1,4,ELETRO12_CEERES12,1983-04-01T00:00:00-03:00,2564.0
1983-05-01,1983,1,5,ELETRO12_CEERES12,1983-05-01T00:00:00-03:00,2407.0
1983-06-01,1983,1,6,ELETRO12_CEERES12,1983-06-01T00:00:00-03:00,2562.0
1983-07-01,1983,1,7,ELETRO12_CEERES12,1983-07-01T00:00:00-03:00,2407.0
1983-08-01,1983,1,8,ELETRO12_CEERES12,1983-08-01T00:00:00-03:00,2403.0
1983-09-01,1983,1,9,ELETRO12_CEERES12,1983-09-01T00:00:00-03:00,2592.0
1983-10-01,1983,1,10,ELETRO12_CEERES12,1983-10-01T00:00:00-03:00,2507.0
1983-11-01,1983,1,11,ELETRO12_CEERES12,1983-11-01T00:00:00-03:00,2501.0
1983-12-01,1983,1,12,ELETRO12_CEERES12,1983-12-01T00:00:00-02:00,2448.0
1984-01-01,1984,1,1,ELETRO12_CEERES12,1984-01-01T00:00:00-02:00,2619.0
1984-02-01,1984,1,2,ELETRO12_CEERES12,1984-02-01T00:00:00-02:00,2626.0
1984-03-01,1984,1,3,ELETRO12_CEERES12,1984-03-01T00:00:00-03:00,2694.0
1984-04-01,1984,1,4,ELETRO12_CEERES12,1984-04-01T00:00:00-03:00,2476.0
1984-05-01,1984,1,5,ELETRO12_CEERES12,1984-05-01T00:00:00-03:00,2548.0
1984-06-01,1984,1,6,ELETRO12_CEERES12,1984-06-01T00:00:00-03:00,2540.0
1984-07-01,1984,1,7,ELETRO12_CEERES12,1984-07-01T00:00:00-03:00,2486.0
1984-08-01,1984,1,8,ELETRO12_CEERES12,1984-08-01T00:00:00-03:00,2523.0
1984-09-01,1984,1,9,ELETRO12_CEERES12,1984-09-01T00:00:00-03:00,2638.0
1984-10-01,1984,1,10,ELETRO12_CEERES12,1984-10-01T00:00:00-03:00,2485.0
1984-11-01,1984,1,11,ELETRO12_CEERES12,1984-11-01T00:00:00-03:00,2733.0
1984-12-01,1984,1,12,ELETRO12_CEERES12,1984-12-01T00:00:00-02:00,2555.0
1985-01-01,1985,1,1,ELETRO12_CEERES12,1985-01-01T00:00:00-02:00,2753.0
1985-02-01,1985,1,2,ELETRO12_CEERES12,1985-02-01T00:00:00-02:00,2654.0
1985-03-01,1985,1,3,ELETRO12_CEERES12,1985-03-01T00:00:00-03:00,2643.0
1985-04-01,1985,1,4,ELETRO12_CEERES12,1985-04-01T00:00:00-03:00,2797.0
1985-05-01,1985,1,5,ELETRO12_CEERES12,1985-05-01T00:00:00-03:00,2692.0
1985-06-01,1985,1,6,ELETRO12_CEERES12,1985-06-01T00:00:00-03:00,2655.0
1985-07-01,1985,1,7,ELETRO12_CEERES12,1985-07-01T00:00:00-03:00,2518.0
1985-08-01,1985,1,8,ELETRO12_CEERES12,1985-08-01T00:00:00-03:00,2710.0
1985-09-01,1985,1,9,ELETRO12_CEERES12,1985-09-01T00:00:00-03:00,2767.0
1985-10-01,1985,1,10,ELETRO12_CEERES12,1985-10-01T00:00:00-03:00,2741.0
1985-11-01,1985,1,11,ELETRO12_CEERES12,1985-11-01T00:00:00-03:00,2907.0
1985-12-01,1985,1,12,ELETRO12_CEERES12,1985-12-01T00:00:00-02:00,2787.0
1986-01-01,1986,1,1,ELETRO12_CEERES12,1986-01-01T00:00:00-02:00,3018.0
1986-02-01,1986,1,2,ELETRO12_CEERES12,1986-02-01T00:00:00-02:00,2936.0
1986-03-01,1986,1,3,ELETRO12_CEERES12,1986-03-01T00:00:00-03:00,2711.0
1986-04-01,1986,1,4,ELETRO12_CEERES12,1986-04-01T00:00:00-03:00,2870.0
