DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Pessoa)
2012-03-01,2012,1,3,PNADC12_FFT12,2012-03-01T00:00:00-03:00,60479.0
2012-04-01,2012,1,4,PNADC12_FFT12,2012-04-01T00:00:00-03:00,59977.0
2012-05-01,2012,1,5,PNADC12_FFT12,2012-05-01T00:00:00-03:00,59741.0
2012-06-01,2012,1,6,PNADC12_FFT12,2012-06-01T00:00:00-03:00,59841.0
2012-07-01,2012,1,7,PNADC12_FFT12,2012-07-01T00:00:00-03:00,60002.0
2012-08-01,2012,1,8,PNADC12_FFT12,2012-08-01T00:00:00-03:00,60085.0
2012-09-01,2012,1,9,PNADC12_FFT12,2012-09-01T00:00:00-03:00,60320.0
2012-10-01,2012,1,10,PNADC12_FFT12,2012-10-01T00:00:00-03:00,60621.0
2012-11-01,2012,1,11,PNADC12_FFT12,2012-11-01T00:00:00-02:00,60855.0
2012-12-01,2012,1,12,PNADC12_FFT12,2012-12-01T00:00:00-02:00,60958.0
2013-01-01,2013,1,1,PNADC12_FFT12,2013-01-01T00:00:00-02:00,61085.0
2013-02-01,2013,1,2,PNADC12_FFT12,2013-02-01T00:00:00-02:00,61155.0
2013-03-01,2013,1,3,PNADC12_FFT12,2013-03-01T00:00:00-03:00,61367.0
2013-04-01,2013,1,4,PNADC12_FFT12,2013-04-01T00:00:00-03:00,61207.0
2013-05-01,2013,1,5,PNADC12_FFT12,2013-05-01T00:00:00-03:00,61099.0
2013-06-01,2013,1,6,PNADC12_FFT12,2013-06-01T00:00:00-03:00,60965.0
2013-07-01,2013,1,7,PNADC12_FFT12,2013-07-01T00:00:00-03:00,60974.0
2013-08-01,2013,1,8,PNADC12_FFT12,2013-08-01T00:00:00-03:00,61235.0
2013-09-01,2013,1,9,PNADC12_FFT12,2013-09-01T00:00:00-03:00,61413.0
2013-10-01,2013,1,10,PNADC12_FFT12,2013-10-01T00:00:00-03:00,61712.0
2013-11-01,2013,1,11,PNADC12_FFT12,2013-11-01T00:00:00-02:00,61714.0
2013-12-01,2013,1,12,PNADC12_FFT12,2013-12-01T00:00:00-02:00,62171.0
2014-01-01,2014,1,1,PNADC12_FFT12,2014-01-01T00:00:00-02:00,62370.0
2014-02-01,2014,1,2,PNADC12_FFT12,2014-02-01T00:00:00-02:00,62192.0
2014-03-01,2014,1,3,PNADC12_FFT12,2014-03-01T00:00:00-03:00,62176.0
2014-04-01,2014,1,4,PNADC12_FFT12,2014-04-01T00:00:00-03:00,62259.0
2014-05-01,2014,1,5,PNADC12_FFT12,2014-05-01T00:00:00-03:00,62520.0
2014-06-01,2014,1,6,PNADC12_FFT12,2014-06-01T00:00:00-03:00,62603.0
2014-07-01,2014,1,7,PNADC12_FFT12,2014-07-01T00:00:00-03:00,62888.0
2014-08-01,2014,1,8,PNADC12_FFT12,2014-08-01T00:00:00-03:00,63159.0
2014-09-01,2014,1,9,PNADC12_FFT12,2014-09-01T00:00:00-03:00,63159.0
2014-10-01,2014,1,10,PNADC12_FFT12,2014-10-01T00:00:00-03:00,63212.0
2014-11-01,2014,1,11,PNADC12_FFT12,2014-11-01T00:00:00-02:00,63407.0
2014-12-01,2014,1,12,PNADC12_FFT12,2014-12-01T00:00:00-02:00,63514.0
2015-01-01,2015,1,1,PNADC12_FFT12,2015-01-01T00:00:00-02:00,63666.0
2015-02-01,2015,1,2,PNADC12_FFT12,2015-02-01T00:00:00-02:00,63692.0
2015-03-01,2015,1,3,PNADC12_FFT12,2015-03-01T00:00:00-03:00,63540.0
2015-04-01,2015,1,4,PNADC12_FFT12,2015-04-01T00:00:00-03:00,63322.0
2015-05-01,2015,1,5,PNADC12_FFT12,2015-05-01T00:00:00-03:00,63390.0
2015-06-01,2015,1,6,PNADC12_FFT12,2015-06-01T00:00:00-03:00,63236.0
2015-07-01,2015,1,7,PNADC12_FFT12,2015-07-01T00:00:00-03:00,63137.0
2015-08-01,2015,1,8,PNADC12_FFT12,2015-08-01T00:00:00-03:00,63167.0
2015-09-01,2015,1,9,PNADC12_FFT12,2015-09-01T00:00:00-03:00,63136.0
2015-10-01,2015,1,10,PNADC12_FFT12,2015-10-01T00:00:00-03:00,62963.0
2015-11-01,2015,1,11,PNADC12_FFT12,2015-11-01T00:00:00-02:00,63215.0
2015-12-01,2015,1,12,PNADC12_FFT12,2015-12-01T00:00:00-02:00,63333.0
2016-01-01,2016,1,1,PNADC12_FFT12,2016-01-01T00:00:00-02:00,63576.0
2016-02-01,2016,1,2,PNADC12_FFT12,2016-02-01T00:00:00-02:00,63526.0
2016-03-01,2016,1,3,PNADC12_FFT12,2016-03-01T00:00:00-03:00,63536.0
2016-04-01,2016,1,4,PNADC12_FFT12,2016-04-01T00:00:00-03:00,63561.0
2016-05-01,2016,1,5,PNADC12_FFT12,2016-05-01T00:00:00-03:00,63543.0
2016-06-01,2016,1,6,PNADC12_FFT12,2016-06-01T00:00:00-03:00,63589.0
2016-07-01,2016,1,7,PNADC12_FFT12,2016-07-01T00:00:00-03:00,63764.0
2016-08-01,2016,1,8,PNADC12_FFT12,2016-08-01T00:00:00-03:00,63984.0
2016-09-01,2016,1,9,PNADC12_FFT12,2016-09-01T00:00:00-03:00,64344.0
2016-10-01,2016,1,10,PNADC12_FFT12,2016-10-01T00:00:00-03:00,64426.0
2016-11-01,2016,1,11,PNADC12_FFT12,2016-11-01T00:00:00-02:00,64192.0
2016-12-01,2016,1,12,PNADC12_FFT12,2016-12-01T00:00:00-02:00,64252.0
2017-01-01,2017,1,1,PNADC12_FFT12,2017-01-01T00:00:00-02:00,64316.0
2017-02-01,2017,1,2,PNADC12_FFT12,2017-02-01T00:00:00-02:00,64269.0
2017-03-01,2017,1,3,PNADC12_FFT12,2017-03-01T00:00:00-03:00,64123.0
2017-04-01,2017,1,4,PNADC12_FFT12,2017-04-01T00:00:00-03:00,64133.0
2017-05-01,2017,1,5,PNADC12_FFT12,2017-05-01T00:00:00-03:00,64129.0
2017-06-01,2017,1,6,PNADC12_FFT12,2017-06-01T00:00:00-03:00,64134.0
2017-07-01,2017,1,7,PNADC12_FFT12,2017-07-01T00:00:00-03:00,64125.0
2017-08-01,2017,1,8,PNADC12_FFT12,2017-08-01T00:00:00-03:00,64096.0
2017-09-01,2017,1,9,PNADC12_FFT12,2017-09-01T00:00:00-03:00,64180.0
2017-10-01,2017,1,10,PNADC12_FFT12,2017-10-01T00:00:00-03:00,64216.0
2017-11-01,2017,1,11,PNADC12_FFT12,2017-11-01T00:00:00-02:00,64122.0
2017-12-01,2017,1,12,PNADC12_FFT12,2017-12-01T00:00:00-02:00,64360.0
2018-01-01,2018,1,1,PNADC12_FFT12,2018-01-01T00:00:00-02:00,64475.0
2018-02-01,2018,1,2,PNADC12_FFT12,2018-02-01T00:00:00-02:00,64667.0
2018-03-01,2018,1,3,PNADC12_FFT12,2018-03-01T00:00:00-03:00,64601.0
2018-04-01,2018,1,4,PNADC12_FFT12,2018-04-01T00:00:00-03:00,64911.0
2018-05-01,2018,1,5,PNADC12_FFT12,2018-05-01T00:00:00-03:00,65147.0
2018-06-01,2018,1,6,PNADC12_FFT12,2018-06-01T00:00:00-03:00,65377.0
2018-07-01,2018,1,7,PNADC12_FFT12,2018-07-01T00:00:00-03:00,65231.0
2018-08-01,2018,1,8,PNADC12_FFT12,2018-08-01T00:00:00-03:00,65136.0
2018-09-01,2018,1,9,PNADC12_FFT12,2018-09-01T00:00:00-03:00,64951.0
2018-10-01,2018,1,10,PNADC12_FFT12,2018-10-01T00:00:00-03:00,64866.0
2018-11-01,2018,1,11,PNADC12_FFT12,2018-11-01T00:00:00-03:00,64858.0
2018-12-01,2018,1,12,PNADC12_FFT12,2018-12-01T00:00:00-02:00,65133.0
2019-01-01,2019,1,1,PNADC12_FFT12,2019-01-01T00:00:00-02:00,65277.0
2019-02-01,2019,1,2,PNADC12_FFT12,2019-02-01T00:00:00-02:00,65461.0
2019-03-01,2019,1,3,PNADC12_FFT12,2019-03-01T00:00:00-03:00,65250.0
2019-04-01,2019,1,4,PNADC12_FFT12,2019-04-01T00:00:00-03:00,64951.0
2019-05-01,2019,1,5,PNADC12_FFT12,2019-05-01T00:00:00-03:00,64684.0
2019-06-01,2019,1,6,PNADC12_FFT12,2019-06-01T00:00:00-03:00,64756.0
2019-07-01,2019,1,7,PNADC12_FFT12,2019-07-01T00:00:00-03:00,64822.0
2019-08-01,2019,1,8,PNADC12_FFT12,2019-08-01T00:00:00-03:00,64928.0
2019-09-01,2019,1,9,PNADC12_FFT12,2019-09-01T00:00:00-03:00,64843.0
2019-10-01,2019,1,10,PNADC12_FFT12,2019-10-01T00:00:00-03:00,64860.0
2019-11-01,2019,1,11,PNADC12_FFT12,2019-11-01T00:00:00-03:00,65122.0
2019-12-01,2019,1,12,PNADC12_FFT12,2019-12-01T00:00:00-03:00,65429.0
2020-01-01,2020,1,1,PNADC12_FFT12,2020-01-01T00:00:00-03:00,65733.0
2020-02-01,2020,1,2,PNADC12_FFT12,2020-02-01T00:00:00-03:00,65937.0
2020-03-01,2020,1,3,PNADC12_FFT12,2020-03-01T00:00:00-03:00,67281.0
2020-04-01,2020,1,4,PNADC12_FFT12,2020-04-01T00:00:00-03:00,70926.0
