DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Tonelada)
1975-01-01,1975,1,1,ABATE12_ABPEBV12,1975-01-01T00:00:00-02:00,139.922
1975-02-01,1975,1,2,ABATE12_ABPEBV12,1975-02-01T00:00:00-02:00,144.318
1975-03-01,1975,1,3,ABATE12_ABPEBV12,1975-03-01T00:00:00-03:00,170.747
1975-04-01,1975,1,4,ABATE12_ABPEBV12,1975-04-01T00:00:00-03:00,198.479
1975-05-01,1975,1,5,ABATE12_ABPEBV12,1975-05-01T00:00:00-03:00,210.037
1975-06-01,1975,1,6,ABATE12_ABPEBV12,1975-06-01T00:00:00-03:00,185.01
1975-07-01,1975,1,7,ABATE12_ABPEBV12,1975-07-01T00:00:00-03:00,160.194
1975-08-01,1975,1,8,ABATE12_ABPEBV12,1975-08-01T00:00:00-03:00,112.859
1975-09-01,1975,1,9,ABATE12_ABPEBV12,1975-09-01T00:00:00-03:00,82.219
1975-10-01,1975,1,10,ABATE12_ABPEBV12,1975-10-01T00:00:00-03:00,93.749
1975-11-01,1975,1,11,ABATE12_ABPEBV12,1975-11-01T00:00:00-03:00,132.724
1975-12-01,1975,1,12,ABATE12_ABPEBV12,1975-12-01T00:00:00-02:00,160.598
1976-01-01,1976,1,1,ABATE12_ABPEBV12,1976-01-01T00:00:00-02:00,181.52
1976-02-01,1976,1,2,ABATE12_ABPEBV12,1976-02-01T00:00:00-02:00,184.562
1976-03-01,1976,1,3,ABATE12_ABPEBV12,1976-03-01T00:00:00-03:00,226.006
1976-04-01,1976,1,4,ABATE12_ABPEBV12,1976-04-01T00:00:00-03:00,219.786
1976-05-01,1976,1,5,ABATE12_ABPEBV12,1976-05-01T00:00:00-03:00,239.474
1976-06-01,1976,1,6,ABATE12_ABPEBV12,1976-06-01T00:00:00-03:00,225.731
1976-07-01,1976,1,7,ABATE12_ABPEBV12,1976-07-01T00:00:00-03:00,207.683
1976-08-01,1976,1,8,ABATE12_ABPEBV12,1976-08-01T00:00:00-03:00,149.656
1976-09-01,1976,1,9,ABATE12_ABPEBV12,1976-09-01T00:00:00-03:00,117.153
1976-10-01,1976,1,10,ABATE12_ABPEBV12,1976-10-01T00:00:00-03:00,120.907
1976-11-01,1976,1,11,ABATE12_ABPEBV12,1976-11-01T00:00:00-03:00,128.457
1976-12-01,1976,1,12,ABATE12_ABPEBV12,1976-12-01T00:00:00-02:00,152.838
1977-01-01,1977,1,1,ABATE12_ABPEBV12,1977-01-01T00:00:00-02:00,190.764
1977-02-01,1977,1,2,ABATE12_ABPEBV12,1977-02-01T00:00:00-02:00,192.733
1977-03-01,1977,1,3,ABATE12_ABPEBV12,1977-03-01T00:00:00-03:00,257.035
1977-04-01,1977,1,4,ABATE12_ABPEBV12,1977-04-01T00:00:00-03:00,256.1
1977-05-01,1977,1,5,ABATE12_ABPEBV12,1977-05-01T00:00:00-03:00,280.415
1977-06-01,1977,1,6,ABATE12_ABPEBV12,1977-06-01T00:00:00-03:00,250.587
1977-07-01,1977,1,7,ABATE12_ABPEBV12,1977-07-01T00:00:00-03:00,219.694
1977-08-01,1977,1,8,ABATE12_ABPEBV12,1977-08-01T00:00:00-03:00,177.381
